record_id,employee_id,review_year,review_cycle,department,job_level,performance_rating,potential_rating,nine_box_position,succession_ready,flight_risk,promotion_recommended,goal_completion_pct,competency_score,development_plan_active,mentor_assigned,manager_id,review_date
TM00072,EMP00834,2026,Q1,IT,L7,Meets,Medium,Rough Diamond,Ready Now,Low,Yes,51,3.19,Yes,No,MGR0044,2024-05-07
TM00073,EMP00265,2025,Q3,Engineering,L4,Does Not Meet,Low,High Potential,Ready Now,Low,No,66,2.97,Yes,No,MGR0017,2023-12-05
TM00074,EMP00355,2021,Q1,IT,L5,Meets,Low,Trusted Professional,Not Identified,Low,No,86,1.48,Yes,Yes,MGR0029,2023-09-22
TM00075,EMP01165,2022,Annual,Design,L4,Meets,Low,Trusted Professional,Not Identified,High,Yes,72,1.5,No,Yes,MGR0049,2024-06-06
TM00076,EMP00502,2026,Q1,Finance,L1,Partially Meets,Medium,Trusted Professional,Ready in 3+ Years,Medium,Yes,67,2.22,No,No,MGR0050,2024-09-06
TM00077,EMP01186,2024,Annual,Customer Success,L6,Partially Meets,High,High Potential,Ready in 3+ Years,Medium,No,70,1.03,No,Yes,MGR0008,2023-11-13
TM00078,EMP00952,2022,Annual,Legal,L2,Partially Meets,Low,Trusted Professional,Ready in 3+ Years,Medium,Yes,71,2.71,No,Yes,MGR0022,2021-06-04
TM00079,EMP01155,2024,Mid-Year,Marketing,L6,Exceeds,Low,Solid Contributor,Ready in 3+ Years,Low,No,75,1.83,Yes,No,MGR0027,2026-06-15
TM00080,EMP00323,2026,Q3,Data Science,L4,Exceeds,Low,Solid Contributor,Not Identified,High,No,82,3.25,Yes,Yes,MGR0009,2020-07-07
TM00081,EMP01116,2023,Q1,Engineering,L2,Does Not Meet,Low,Inconsistent Player,Not Identified,Low,Yes,52,3.95,Yes,Yes,MGR0040,2020-06-10
TM00082,EMP01090,2022,Q3,Customer Success,L7,Does Not Meet,High,Underperformer,Ready in 3+ Years,Medium,No,51,3.05,No,No,MGR0009,2020-03-27
TM00083,EMP00930,2023,Q1,Customer Success,L4,Exceeds,High,Underperformer,Not Identified,Medium,No,82,4.81,Yes,No,MGR0038,2020-08-05
TM00084,EMP00897,2021,Q3,HR,L2,Does Not Meet,Medium,Underperformer,Not Identified,Low,No,67,3.22,No,Yes,MGR0034,2020-08-05
TM00085,EMP00338,2026,Mid-Year,Customer Success,L4,Exceeds,Low,Trusted Professional,Ready in 1-2 Years,Low,No,76,4.13,Yes,No,MGR0022,2024-01-17
TM00086,EMP00889,2024,Mid-Year,Design,L5,Does Not Meet,Medium,Solid Contributor,Ready in 1-2 Years,Medium,No,56,4.27,No,No,MGR0033,2025-05-12
TM00087,EMP00539,2021,Q3,Customer Success,L6,Does Not Meet,High,Underperformer,Not Identified,Low,No,94,2.19,No,No,MGR0008,2020-06-26
TM00088,EMP00969,2020,Q3,Legal,L2,Partially Meets,Low,Rough Diamond,Not Identified,Medium,No,73,2.94,No,No,MGR0022,2024-01-29
TM00089,EMP00540,2023,Q1,IT,L5,Does Not Meet,High,Core Player,Ready in 3+ Years,Medium,Yes,88,4.7,No,Yes,MGR0011,2020-09-27
TM00090,EMP01110,2024,Mid-Year,Sales,L7,Meets,Low,Inconsistent Player,Ready Now,Low,No,99,4.18,No,Yes,MGR0015,2021-02-25
TM00091,EMP01151,2020,Q3,Product,L1,Does Not Meet,High,Solid Contributor,Ready in 3+ Years,Medium,No,55,3.05,No,No,MGR0048,2025-08-23
TM00092,EMP00843,2023,Q3,Sales,L7,Partially Meets,Low,Underperformer,Ready in 1-2 Years,Low,Yes,89,2.83,No,No,MGR0007,2023-09-06
TM00093,EMP01155,2021,Q1,Product,L3,Does Not Meet,Medium,Star,Ready Now,Low,No,54,3.16,No,Yes,MGR0001,2022-10-06
TM00094,EMP00075,2021,Annual,Product,L7,Does Not Meet,Low,Question Mark,Ready in 1-2 Years,Low,No,67,3.1,Yes,No,MGR0047,2024-10-23
TM00095,EMP00656,2024,Q3,IT,L7,Meets,Medium,Star,Ready in 3+ Years,Low,No,84,3.84,Yes,Yes,MGR0031,2024-10-20
TM00096,EMP00907,2024,Q3,Engineering,L2,Meets,High,Core Player,Ready in 3+ Years,High,Yes,82,1.6,No,Yes,MGR0028,2020-03-08
TM00097,EMP00796,2024,Mid-Year,Design,L6,Exceeds,Medium,Solid Contributor,Not Identified,Low,No,81,1.08,No,No,MGR0020,2020-06-26
TM00098,EMP00001,2022,Annual,Data Science,L1,Does Not Meet,High,Star,Ready Now,High,No,76,4.76,No,Yes,MGR0004,2021-11-22
TM00099,EMP00250,2024,Annual,Legal,L7,Does Not Meet,Low,Solid Contributor,Ready Now,High,Yes,69,1.65,Yes,No,MGR0048,2021-04-27
TM00100,EMP00458,2025,Q1,Operations,L4,Meets,Medium,Star,Ready in 3+ Years,High,No,87,3.72,Yes,No,MGR0039,2024-08-21
TM00101,EMP00258,2020,Mid-Year,Sales,L2,Does Not Meet,Low,Underperformer,Ready in 1-2 Years,High,No,76,4.61,Yes,No,MGR0037,2021-08-02
TM00102,EMP00312,2022,Q3,Sales,L6,Does Not Meet,High,Solid Contributor,Ready Now,High,No,79,4.37,No,No,MGR0020,2022-06-04
TM00103,EMP00864,2023,Mid-Year,Sales,L3,Meets,Low,Trusted Professional,Ready in 3+ Years,Low,No,91,1.32,Yes,No,MGR0047,2020-12-15
TM00104,EMP01012,2025,Q1,Legal,L5,Meets,Low,Rough Diamond,Ready Now,Low,Yes,73,2.31,Yes,Yes,MGR0041,2021-02-04
TM00105,EMP00687,2026,Q3,Engineering,L1,Meets,Low,Star,Ready Now,Low,No,91,1.91,No,Yes,MGR0007,2023-04-25
TM00106,EMP01080,2025,Q3,Design,L1,Meets,High,Trusted Professional,Ready in 1-2 Years,Low,No,78,1.14,No,Yes,MGR0007,2021-11-28
TM00107,EMP00177,2025,Q1,IT,L3,Meets,Medium,Inconsistent Player,Ready in 3+ Years,Medium,No,65,2.8,No,Yes,MGR0002,2024-10-15
TM00108,EMP00733,2024,Q1,Data Science,L6,Meets,Medium,Star,Ready Now,Low,No,91,3.65,Yes,Yes,MGR0042,2024-05-08
TM00109,EMP00628,2026,Q3,HR,L1,Does Not Meet,High,Solid Contributor,Not Identified,Medium,No,57,5.0,Yes,Yes,MGR0036,2023-09-30
TM00110,EMP00500,2022,Annual,Engineering,L2,Partially Meets,High,Trusted Professional,Not Identified,Low,No,73,2.18,No,Yes,MGR0029,2023-10-06
TM00111,EMP00654,2022,Q1,HR,L5,Does Not Meet,High,High Potential,Ready in 1-2 Years,Low,Yes,86,1.48,Yes,No,MGR0032,2023-10-21
TM00112,EMP00436,2024,Mid-Year,Legal,L4,Does Not Meet,High,Trusted Professional,Ready in 1-2 Years,Low,No,87,4.97,No,No,MGR0034,2023-06-04
TM00113,EMP00954,2024,Annual,Engineering,L7,Meets,High,Inconsistent Player,Ready Now,Low,No,87,4.25,Yes,Yes,MGR0041,2020-06-29
TM00114,EMP00772,2025,Mid-Year,Finance,L3,Does Not Meet,Medium,High Potential,Ready in 1-2 Years,Low,No,91,2.5,No,No,MGR0042,2025-08-12
TM00115,EMP00152,2020,Q1,Operations,L4,Meets,Low,Solid Contributor,Ready in 1-2 Years,Low,Yes,73,1.19,No,No,MGR0021,2026-02-09
TM00116,EMP00253,2022,Mid-Year,Finance,L4,Exceeds,Low,Solid Contributor,Ready Now,High,Yes,51,4.03,Yes,Yes,MGR0016,2021-01-29
TM00117,EMP00274,2026,Q3,Operations,L1,Partially Meets,Low,High Potential,Not Identified,Medium,No,67,3.5,No,Yes,MGR0028,2023-10-28
TM00118,EMP00086,2021,Q1,Design,L6,Meets,Low,Underperformer,Ready in 1-2 Years,High,No,98,2.61,Yes,No,MGR0048,2020-06-02
TM00119,EMP00962,2020,Annual,Customer Success,L5,Exceeds,High,Trusted Professional,Not Identified,Medium,Yes,81,3.7,Yes,No,MGR0001,2021-11-17
TM00120,EMP00779,2023,Q1,Finance,L5,Partially Meets,Low,Question Mark,Ready in 1-2 Years,High,No,62,1.79,Yes,Yes,MGR0002,2024-11-11
TM00121,EMP00360,2022,Annual,Product,L2,Partially Meets,Medium,Inconsistent Player,Ready in 3+ Years,Low,No,86,1.85,Yes,No,MGR0048,2024-07-28
TM00122,EMP00504,2026,Q1,Marketing,L7,Exceeds,Medium,Star,Ready in 1-2 Years,Low,Yes,87,4.33,No,Yes,MGR0036,2022-12-23
TM00123,EMP00584,2022,Annual,HR,L7,Partially Meets,High,Underperformer,Ready Now,Medium,No,99,3.27,No,Yes,MGR0028,2022-05-13
TM00124,EMP00967,2022,Annual,Operations,L7,Meets,High,Trusted Professional,Ready in 1-2 Years,Medium,No,52,1.22,Yes,Yes,MGR0028,2020-10-05
TM00125,EMP00443,2024,Mid-Year,HR,L2,Meets,Low,Trusted Professional,Not Identified,Low,No,71,1.38,Yes,Yes,MGR0030,2020-12-26
TM00126,EMP00006,2026,Q3,Customer Success,L4,Partially Meets,High,Solid Contributor,Not Identified,Low,No,91,3.68,Yes,No,MGR0003,2024-09-18
TM00127,EMP01002,2020,Mid-Year,Data Science,L3,Does Not Meet,Low,High Potential,Ready in 1-2 Years,Medium,Yes,61,3.19,No,Yes,MGR0006,2025-07-15
TM00128,EMP00881,2025,Annual,Operations,L3,Meets,High,Core Player,Ready Now,Medium,No,58,2.41,No,No,MGR0033,2025-09-12
TM00129,EMP00810,2023,Q3,Finance,L4,Meets,Medium,Star,Ready in 3+ Years,Low,No,92,1.25,No,Yes,MGR0017,2023-02-24
TM00130,EMP00689,2022,Mid-Year,Data Science,L3,Exceeds,Low,Underperformer,Ready Now,High,No,69,4.17,No,No,MGR0045,2021-06-07
TM00131,EMP00018,2025,Q1,Legal,L7,Meets,High,Question Mark,Ready in 1-2 Years,Low,No,91,1.61,Yes,Yes,MGR0042,2024-03-10
TM00132,EMP00314,2023,Annual,Marketing,L5,Partially Meets,Low,Question Mark,Ready Now,Low,No,88,2.7,No,Yes,MGR0014,2022-07-23
TM00133,EMP00334,2020,Annual,Customer Success,L5,Does Not Meet,Medium,Rough Diamond,Ready Now,High,Yes,93,4.53,No,No,MGR0013,2023-11-12
TM00134,EMP00335,2026,Q3,Legal,L7,Meets,High,Underperformer,Ready Now,Low,No,89,4.58,No,Yes,MGR0006,2020-06-07
TM00135,EMP01066,2023,Mid-Year,Data Science,L2,Does Not Meet,Low,Underperformer,Ready in 3+ Years,High,No,56,1.12,Yes,No,MGR0026,2022-12-23
TM00136,EMP00898,2021,Annual,Customer Success,L7,Does Not Meet,High,Question Mark,Ready Now,High,No,96,2.94,Yes,No,MGR0045,2024-09-28
TM00137,EMP00882,2020,Annual,Sales,L7,Exceeds,High,Underperformer,Not Identified,Low,No,90,1.48,Yes,Yes,MGR0047,2023-02-11
TM00138,EMP00548,2024,Q1,Operations,L4,Does Not Meet,Low,Inconsistent Player,Ready in 1-2 Years,High,No,66,1.08,No,No,MGR0026,2025-09-18
TM00139,EMP01194,2023,Q1,Customer Success,L3,Partially Meets,High,Underperformer,Ready Now,High,Yes,69,2.28,No,Yes,MGR0030,2024-04-30
TM00140,EMP00017,2022,Mid-Year,Data Science,L1,Exceeds,High,Trusted Professional,Not Identified,Low,Yes,86,1.76,Yes,No,MGR0046,2022-04-10
TM00141,EMP00987,2021,Q1,Design,L3,Does Not Meet,Low,Solid Contributor,Ready Now,Low,No,78,1.63,Yes,No,MGR0025,2021-03-05
TM00142,EMP00121,2026,Annual,Legal,L2,Meets,Low,Underperformer,Ready in 1-2 Years,Low,No,67,2.82,No,Yes,MGR0035,2023-03-29
TM00143,EMP01028,2026,Mid-Year,Product,L2,Meets,Low,Underperformer,Not Identified,High,No,96,3.14,Yes,No,MGR0043,2020-05-07
TM00144,EMP00036,2020,Q1,Customer Success,L1,Exceeds,High,Solid Contributor,Ready Now,Medium,No,67,3.86,No,No,MGR0026,2023-07-17
TM00145,EMP00089,2022,Mid-Year,Product,L2,Meets,Low,Solid Contributor,Ready in 3+ Years,Low,No,70,2.22,No,Yes,MGR0008,2020-10-03
TM00146,EMP00353,2023,Annual,Product,L3,Does Not Meet,Medium,Inconsistent Player,Ready in 3+ Years,Medium,No,96,3.21,No,No,MGR0039,2023-07-31
TM00147,EMP00827,2023,Q1,IT,L6,Exceeds,Medium,Question Mark,Ready in 3+ Years,Low,Yes,100,1.91,Yes,Yes,MGR0010,2021-04-04
TM00148,EMP01045,2025,Annual,Finance,L7,Meets,Medium,Question Mark,Ready in 1-2 Years,Low,Yes,73,4.14,No,No,MGR0020,2022-12-13
TM00149,EMP01111,2021,Q3,HR,L4,Meets,High,Question Mark,Ready Now,Low,No,88,3.78,Yes,No,MGR0008,2023-09-16
TM00150,EMP00656,2020,Q1,Customer Success,L5,Exceeds,High,Rough Diamond,Ready Now,Low,No,50,4.43,No,No,MGR0009,2025-11-15
TM00151,EMP00064,2024,Mid-Year,Customer Success,L2,Meets,Low,Star,Ready Now,Medium,No,63,1.93,No,Yes,MGR0036,2023-01-02
TM00152,EMP00650,2023,Annual,Marketing,L6,Partially Meets,Low,Solid Contributor,Ready in 1-2 Years,High,No,72,2.96,Yes,No,MGR0029,2021-12-30
TM00153,EMP00476,2025,Annual,Product,L3,Meets,Medium,Inconsistent Player,Not Identified,Low,Yes,64,2.57,No,Yes,MGR0040,2025-07-04
TM00154,EMP01098,2021,Mid-Year,IT,L5,Meets,High,Rough Diamond,Ready Now,Low,No,56,2.9,Yes,Yes,MGR0004,2024-08-01
TM00155,EMP00058,2025,Q1,Legal,L3,Meets,High,Underperformer,Not Identified,Low,No,83,1.59,No,No,MGR0042,2022-03-06
TM00156,EMP00428,2025,Mid-Year,Sales,L5,Meets,Low,Star,Ready in 1-2 Years,High,No,95,2.97,Yes,Yes,MGR0035,2026-01-05
TM00157,EMP00841,2020,Q3,Design,L2,Meets,Low,Solid Contributor,Ready in 3+ Years,Low,No,55,4.89,Yes,Yes,MGR0004,2022-05-06
TM00158,EMP01067,2026,Annual,Legal,L1,Exceeds,High,Inconsistent Player,Not Identified,Medium,No,80,4.15,Yes,Yes,MGR0024,2023-04-21
TM00159,EMP00835,2023,Annual,IT,L4,Meets,High,Rough Diamond,Ready in 1-2 Years,High,No,92,4.34,No,Yes,MGR0014,2026-02-04
TM00160,EMP00908,2025,Mid-Year,IT,L6,Does Not Meet,Medium,Rough Diamond,Not Identified,Medium,Yes,86,1.27,No,No,MGR0005,2021-07-21
TM00161,EMP01117,2026,Mid-Year,Design,L5,Exceeds,Low,Solid Contributor,Ready in 3+ Years,Low,No,63,4.01,No,Yes,MGR0044,2021-10-12
TM00162,EMP00359,2021,Annual,Design,L3,Partially Meets,Low,Inconsistent Player,Ready Now,High,No,66,3.3,Yes,No,MGR0018,2025-12-24
TM00163,EMP01087,2021,Q1,Sales,L7,Does Not Meet,High,Inconsistent Player,Ready in 3+ Years,Low,No,59,1.12,Yes,Yes,MGR0007,2025-09-19
TM00164,EMP00991,2021,Q1,Design,L2,Partially Meets,High,High Potential,Ready Now,Low,Yes,89,1.1,Yes,No,MGR0005,2023-01-13
TM00165,EMP00581,2025,Q3,Marketing,L2,Exceeds,Medium,Trusted Professional,Not Identified,Low,No,76,4.99,Yes,No,MGR0005,2025-03-14
TM00166,EMP00335,2021,Q1,IT,L5,Meets,Low,Star,Ready in 1-2 Years,High,Yes,75,3.86,No,No,MGR0007,2024-03-05
TM00167,EMP00144,2023,Q1,Product,L4,Meets,High,Question Mark,Ready in 1-2 Years,Low,No,90,2.67,No,No,MGR0041,2024-01-26
TM00168,EMP00688,2026,Annual,HR,L2,Meets,High,Question Mark,Not Identified,High,Yes,70,3.77,No,No,MGR0023,2024-11-01
TM00169,EMP00805,2020,Mid-Year,Engineering,L4,Meets,Low,Trusted Professional,Ready in 3+ Years,Low,No,98,3.79,No,Yes,MGR0009,2020-06-03
TM00170,EMP00252,2024,Q1,Design,L6,Meets,Low,Solid Contributor,Not Identified,Medium,No,63,4.48,No,Yes,MGR0012,2021-12-10
