learning_id,employee_id,department,job_level,course_name,course_category,provider,start_date,completion_date,status,score_pct,hours_spent,certification_earned,mandatory,mode,rating_by_learner,manager_id
LRN00012,EMP01159,Design,L7,Machine Learning Basics,Technical,HarvardX,2023-03-04,2023-05-17,Dropped,95,25.0,No,No,Virtual Instructor-Led,4.9,MGR0028
LRN00013,EMP00362,HR,L2,DEI in the Workplace,Compliance,Custom,2025-05-02,2025-07-01,Completed,52,30.0,No,No,In-Person,4.8,MGR0039
LRN00014,EMP00376,Data Science,L3,SQL Mastery,Leadership,Udemy,2023-11-17,2024-02-17,In Progress,56,7.4,No,Yes,In-Person,2.4,MGR0047
LRN00015,EMP00066,Sales,L2,Leadership Foundations,Technical,LinkedIn Learning,2024-09-29,2024-12-24,Not Started,57,19.9,No,No,Virtual Instructor-Led,2.6,MGR0019
LRN00016,EMP00362,Sales,L3,Leadership Foundations,Compliance,Udemy,2025-02-27,2025-06-11,Not Started,69,9.2,No,No,Online Self-Paced,2.8,MGR0005
LRN00017,EMP00663,Data Science,L5,Power BI Essentials,Compliance,HarvardX,2023-04-19,2023-08-12,Completed,53,36.6,No,Yes,In-Person,2.7,MGR0047
LRN00018,EMP00437,IT,L4,Negotiation Skills,Compliance,Coursera,2024-09-18,2025-01-12,In Progress,57,17.5,No,Yes,Virtual Instructor-Led,4.7,MGR0027
LRN00019,EMP01093,Data Science,L6,Financial Acumen,Soft Skills,Pluralsight,2025-09-15,2025-11-21,In Progress,92,27.9,No,No,Online Self-Paced,2.3,MGR0026
LRN00020,EMP00901,Marketing,L1,Financial Acumen,Domain,Udemy,2025-09-08,2025-11-22,Completed,74,15.3,Yes,Yes,In-Person,4.9,MGR0048
LRN00021,EMP01061,Operations,L5,Design Thinking,Compliance,Internal LMS,2024-03-21,2024-04-30,Dropped,68,33.0,No,Yes,Online Self-Paced,4.1,MGR0006
LRN00022,EMP00656,Legal,L7,Machine Learning Basics,Domain,Internal LMS,2022-06-28,2022-09-05,Completed,60,15.8,No,Yes,Online Self-Paced,2.6,MGR0045
LRN00023,EMP00021,Design,L2,Negotiation Skills,Soft Skills,Coursera,2025-09-06,2025-10-27,In Progress,93,15.1,Yes,No,Virtual Instructor-Led,1.6,MGR0043
LRN00024,EMP00876,Operations,L4,Leadership Foundations,Leadership,HarvardX,2022-07-02,2022-08-08,Dropped,97,32.6,No,Yes,In-Person,3.0,MGR0044
LRN00025,EMP00555,Finance,L7,Power BI Essentials,Technical,LinkedIn Learning,2023-10-21,2024-01-18,Not Started,100,13.8,No,No,Blended,4.7,MGR0008
LRN00026,EMP00602,Legal,L7,Design Thinking,Compliance,Custom,2025-08-20,2025-10-01,In Progress,56,16.4,No,Yes,In-Person,1.9,MGR0016
LRN00027,EMP00888,HR,L1,Communication Skills,Soft Skills,HarvardX,2025-12-16,2026-03-01,Dropped,94,20.5,No,No,Online Self-Paced,2.8,MGR0004
LRN00028,EMP00690,Engineering,L4,Financial Acumen,Soft Skills,Udemy,2023-01-18,2023-04-12,Completed,74,23.2,No,Yes,In-Person,3.8,MGR0028
LRN00029,EMP00097,Legal,L5,DEI in the Workplace,Soft Skills,Internal LMS,2022-06-17,2022-08-30,In Progress,58,15.7,No,No,In-Person,4.5,MGR0042
LRN00030,EMP00532,Sales,L2,Machine Learning Basics,Compliance,LinkedIn Learning,2025-12-23,2026-04-18,Not Started,62,23.0,No,Yes,In-Person,3.3,MGR0050
LRN00031,EMP00103,Engineering,L1,Cloud Fundamentals,Technical,Pluralsight,2024-03-05,2024-06-27,In Progress,50,36.1,No,Yes,Blended,3.5,MGR0034
LRN00032,EMP00250,IT,L2,Financial Acumen,Domain,HarvardX,2025-02-03,2025-05-26,In Progress,80,3.7,Yes,Yes,Online Self-Paced,4.8,MGR0035
LRN00033,EMP00264,Sales,L4,Communication Skills,Technical,LinkedIn Learning,2024-09-05,2024-12-11,Completed,79,29.6,No,No,Online Self-Paced,1.4,MGR0003
LRN00034,EMP00883,Design,L4,Machine Learning Basics,Compliance,HarvardX,2024-11-30,2025-01-15,In Progress,76,5.7,Yes,No,Virtual Instructor-Led,3.7,MGR0040
LRN00035,EMP00345,Customer Success,L1,Cloud Fundamentals,Soft Skills,Custom,2023-04-06,2023-06-30,Not Started,100,30.1,No,No,Virtual Instructor-Led,1.3,MGR0006
LRN00036,EMP00944,Finance,L5,Power BI Essentials,Technical,Coursera,2025-06-12,2025-08-22,In Progress,95,38.9,No,No,Virtual Instructor-Led,4.1,MGR0023
LRN00037,EMP00506,Product,L4,Machine Learning Basics,Compliance,LinkedIn Learning,2023-12-03,2024-01-13,In Progress,70,17.8,No,No,Online Self-Paced,2.5,MGR0039
LRN00038,EMP00934,Marketing,L4,Leadership Foundations,Compliance,Internal LMS,2022-08-13,2022-11-19,In Progress,76,7.3,Yes,Yes,In-Person,1.5,MGR0022
LRN00039,EMP00385,HR,L3,SQL Mastery,Technical,HarvardX,2022-02-18,2022-05-19,Not Started,87,16.9,No,No,Blended,2.2,MGR0048
LRN00040,EMP00877,Design,L3,Agile & Scrum Certification,Compliance,Pluralsight,2023-08-29,2023-10-16,Completed,82,34.0,No,Yes,Virtual Instructor-Led,1.4,MGR0009
LRN00041,EMP00668,Customer Success,L5,Safety & Compliance,Soft Skills,Internal LMS,2023-11-07,2023-12-12,Not Started,53,9.1,Yes,No,Online Self-Paced,1.8,MGR0049
LRN00042,EMP00777,Operations,L1,Project Management Professional,Soft Skills,Internal LMS,2025-09-24,2026-01-20,Dropped,89,22.7,No,Yes,Blended,4.2,MGR0019
LRN00043,EMP01008,Sales,L2,Agile & Scrum Certification,Technical,Coursera,2024-09-08,2024-11-20,In Progress,91,32.2,No,No,Online Self-Paced,1.1,MGR0024
LRN00044,EMP00940,Marketing,L5,Financial Acumen,Domain,Udemy,2026-05-10,2026-07-31,Dropped,73,17.2,No,Yes,Blended,4.3,MGR0041
LRN00045,EMP00484,IT,L2,Power BI Essentials,Soft Skills,Udemy,2022-04-11,2022-08-06,Dropped,79,10.6,Yes,Yes,In-Person,1.8,MGR0031
LRN00046,EMP00230,Customer Success,L2,Financial Acumen,Technical,LinkedIn Learning,2022-09-07,2022-11-03,Not Started,52,25.1,No,No,Virtual Instructor-Led,2.9,MGR0044
LRN00047,EMP00995,HR,L6,Financial Acumen,Leadership,Custom,2022-08-21,2022-09-26,In Progress,55,26.7,No,No,Blended,2.1,MGR0028
LRN00048,EMP00737,Sales,L7,Project Management Professional,Compliance,Udemy,2025-12-09,2026-03-14,Dropped,95,36.3,No,No,In-Person,4.4,MGR0041
LRN00049,EMP01007,IT,L6,Cloud Fundamentals,Compliance,Udemy,2025-12-13,2026-04-11,Dropped,55,4.4,Yes,No,In-Person,2.7,MGR0042
LRN00050,EMP00111,Legal,L5,Financial Acumen,Leadership,Custom,2025-06-07,2025-08-04,Not Started,56,1.3,No,Yes,Blended,3.7,MGR0026
LRN00051,EMP01066,Legal,L5,Machine Learning Basics,Domain,Pluralsight,2024-03-14,2024-06-19,Not Started,59,1.2,No,Yes,Blended,4.8,MGR0022
LRN00052,EMP00468,Engineering,L3,Cloud Fundamentals,Leadership,Internal LMS,2022-05-04,2022-06-15,Completed,67,30.3,Yes,No,Blended,2.5,MGR0007
LRN00053,EMP00457,HR,L3,Excel Advanced,Domain,Internal LMS,2026-07-10,2026-07-31,Not Started,80,17.8,No,No,Online Self-Paced,5.0,MGR0035
LRN00054,EMP01162,Marketing,L7,Financial Acumen,Domain,Udemy,2023-07-08,2023-08-13,Not Started,99,13.0,No,No,Blended,1.3,MGR0045
LRN00055,EMP01163,Product,L4,Safety & Compliance,Soft Skills,Coursera,2026-03-19,2026-05-02,In Progress,71,12.4,No,No,Online Self-Paced,5.0,MGR0047
LRN00056,EMP00247,Operations,L6,Power BI Essentials,Domain,HarvardX,2023-04-10,2023-06-03,Not Started,85,33.0,No,Yes,Online Self-Paced,1.7,MGR0004
LRN00057,EMP01065,Operations,L5,Cloud Fundamentals,Technical,Internal LMS,2022-03-07,2022-04-12,Completed,61,11.5,No,Yes,Virtual Instructor-Led,2.6,MGR0017
LRN00058,EMP00499,Product,L6,Power BI Essentials,Leadership,LinkedIn Learning,2023-01-11,2023-03-08,Not Started,90,6.4,Yes,No,Blended,1.5,MGR0033
LRN00059,EMP00988,Legal,L2,Design Thinking,Technical,Custom,2025-03-18,2025-06-17,Dropped,88,34.2,No,Yes,Virtual Instructor-Led,1.4,MGR0007
LRN00060,EMP00279,Product,L3,Project Management Professional,Leadership,LinkedIn Learning,2024-10-10,2025-02-07,Not Started,55,36.2,No,Yes,Blended,3.7,MGR0027
LRN00061,EMP00165,HR,L2,Agile & Scrum Certification,Technical,HarvardX,2023-04-29,2023-07-03,Dropped,55,25.1,No,No,Online Self-Paced,3.4,MGR0026
LRN00062,EMP00986,Sales,L3,Communication Skills,Soft Skills,LinkedIn Learning,2022-12-18,2023-03-12,Not Started,94,21.5,No,No,Virtual Instructor-Led,4.3,MGR0014
LRN00063,EMP01048,Operations,L6,Negotiation Skills,Soft Skills,Udemy,2024-06-23,2024-08-04,Dropped,57,7.5,No,Yes,Blended,2.5,MGR0048
LRN00064,EMP00003,Data Science,L7,Negotiation Skills,Soft Skills,HarvardX,2024-09-06,2024-10-07,Completed,58,7.3,No,No,Virtual Instructor-Led,3.9,MGR0020
LRN00065,EMP00375,Product,L5,Design Thinking,Compliance,Coursera,2023-11-21,2023-12-21,Completed,64,24.5,No,Yes,Blended,5.0,MGR0019
LRN00066,EMP00698,IT,L3,Financial Acumen,Domain,LinkedIn Learning,2024-05-17,2024-09-08,Dropped,84,26.0,No,No,In-Person,3.4,MGR0013
LRN00067,EMP00366,Engineering,L2,Financial Acumen,Domain,Coursera,2025-12-02,2026-01-22,Dropped,85,34.4,No,No,Online Self-Paced,3.6,MGR0014
LRN00068,EMP00752,Operations,L6,Negotiation Skills,Soft Skills,Pluralsight,2024-08-21,2024-11-06,Not Started,70,19.6,No,No,Virtual Instructor-Led,1.0,MGR0010
LRN00069,EMP00858,Finance,L2,Python for Data Science,Domain,LinkedIn Learning,2023-06-18,2023-08-15,In Progress,59,7.3,No,No,Online Self-Paced,2.0,MGR0009
LRN00070,EMP00864,Legal,L3,Negotiation Skills,Leadership,HarvardX,2022-12-02,2023-02-17,Completed,86,11.6,No,No,Blended,1.9,MGR0019
LRN00071,EMP01168,Marketing,L6,SQL Mastery,Soft Skills,Coursera,2026-04-27,2026-06-14,Not Started,81,17.8,Yes,Yes,Virtual Instructor-Led,4.2,MGR0033
LRN00072,EMP00986,Sales,L1,Python for Data Science,Leadership,Internal LMS,2022-05-02,2022-07-11,Dropped,67,5.0,No,Yes,Blended,3.5,MGR0039
LRN00073,EMP00459,IT,L7,Power BI Essentials,Leadership,Pluralsight,2023-05-16,2023-07-10,In Progress,83,18.1,No,Yes,Blended,3.1,MGR0034
LRN00074,EMP00708,Customer Success,L1,Safety & Compliance,Leadership,Pluralsight,2022-11-03,2023-01-27,Completed,74,14.3,No,Yes,In-Person,1.1,MGR0041
LRN00075,EMP00483,Product,L5,Safety & Compliance,Leadership,HarvardX,2025-05-20,2025-09-07,Not Started,58,5.0,Yes,No,In-Person,4.7,MGR0039
LRN00076,EMP00063,Data Science,L2,Cloud Fundamentals,Leadership,Internal LMS,2024-04-07,2024-05-29,Not Started,53,21.9,No,Yes,Virtual Instructor-Led,2.6,MGR0041
LRN00077,EMP00380,Customer Success,L1,Cloud Fundamentals,Technical,Udemy,2024-06-07,2024-08-27,Dropped,79,29.8,No,No,Blended,3.7,MGR0015
LRN00078,EMP00988,Sales,L5,Leadership Foundations,Domain,LinkedIn Learning,2025-12-07,2026-02-20,Dropped,66,36.3,No,Yes,Online Self-Paced,2.4,MGR0045
LRN00079,EMP00575,Engineering,L6,SQL Mastery,Leadership,Internal LMS,2024-09-22,2024-11-08,Dropped,57,2.7,No,Yes,Virtual Instructor-Led,2.1,MGR0036
LRN00080,EMP00968,Product,L2,SQL Mastery,Compliance,LinkedIn Learning,2025-11-20,2026-02-25,Not Started,99,24.4,No,No,Online Self-Paced,1.8,MGR0038
LRN00081,EMP00044,Legal,L2,Communication Skills,Soft Skills,Coursera,2023-09-09,2023-11-11,Dropped,75,34.0,No,No,Virtual Instructor-Led,4.2,MGR0043
LRN00082,EMP01072,Operations,L1,Python for Data Science,Soft Skills,Coursera,2025-12-03,2026-03-13,Not Started,64,20.6,No,Yes,Online Self-Paced,3.3,MGR0038
LRN00083,EMP00879,Legal,L6,Cloud Fundamentals,Domain,Coursera,2024-11-12,2025-03-11,Not Started,91,32.0,No,Yes,In-Person,1.3,MGR0018
LRN00084,EMP00059,Finance,L5,Negotiation Skills,Soft Skills,HarvardX,2025-06-16,2025-08-13,Not Started,96,24.5,No,No,Virtual Instructor-Led,4.3,MGR0021
LRN00085,EMP00782,Finance,L5,DEI in the Workplace,Soft Skills,LinkedIn Learning,2023-04-26,2023-06-02,Dropped,81,29.0,No,No,Virtual Instructor-Led,1.6,MGR0010
LRN00086,EMP00880,Finance,L7,Cloud Fundamentals,Soft Skills,HarvardX,2025-11-29,2026-03-25,Completed,98,39.6,No,Yes,Online Self-Paced,1.0,MGR0032
LRN00087,EMP00279,Product,L7,Communication Skills,Technical,Custom,2022-01-23,2022-04-23,Dropped,89,19.1,No,Yes,Online Self-Paced,4.6,MGR0007
LRN00088,EMP00734,HR,L7,Project Management Professional,Soft Skills,HarvardX,2023-06-01,2023-09-15,Completed,57,37.3,Yes,Yes,Online Self-Paced,3.0,MGR0001
LRN00089,EMP00052,Legal,L5,Design Thinking,Domain,HarvardX,2022-04-22,2022-06-01,Not Started,73,21.4,No,Yes,Virtual Instructor-Led,4.5,MGR0017
LRN00090,EMP00653,Operations,L4,Communication Skills,Leadership,Coursera,2023-06-09,2023-08-01,In Progress,56,12.5,No,No,Online Self-Paced,1.8,MGR0050
LRN00091,EMP01177,Operations,L6,Leadership Foundations,Soft Skills,Udemy,2025-03-17,2025-06-27,In Progress,63,37.5,No,Yes,In-Person,2.7,MGR0021
LRN00092,EMP00086,Product,L1,Communication Skills,Soft Skills,Pluralsight,2025-04-17,2025-07-03,Completed,50,33.7,No,No,Online Self-Paced,3.6,MGR0005
LRN00093,EMP00288,Customer Success,L7,Safety & Compliance,Compliance,LinkedIn Learning,2026-07-13,2026-07-31,Completed,54,18.4,No,Yes,Blended,3.3,MGR0039
LRN00094,EMP01087,Marketing,L1,Agile & Scrum Certification,Compliance,Coursera,2023-04-15,2023-07-23,Dropped,83,23.5,No,Yes,Virtual Instructor-Led,1.0,MGR0042
LRN00095,EMP01132,Finance,L1,Communication Skills,Leadership,LinkedIn Learning,2023-01-19,2023-04-23,Not Started,53,13.2,Yes,Yes,Online Self-Paced,3.3,MGR0010
LRN00096,EMP00837,Engineering,L3,Financial Acumen,Domain,Internal LMS,2025-08-29,2025-12-04,Dropped,70,10.9,Yes,No,In-Person,4.8,MGR0039
LRN00097,EMP01114,Legal,L3,Agile & Scrum Certification,Soft Skills,LinkedIn Learning,2023-05-11,2023-08-28,In Progress,81,25.8,Yes,No,In-Person,3.0,MGR0020
LRN00098,EMP00967,Engineering,L3,SQL Mastery,Soft Skills,Coursera,2024-12-20,2025-02-16,Completed,100,37.1,Yes,No,Blended,5.0,MGR0038
LRN00099,EMP00633,Finance,L6,SQL Mastery,Technical,Internal LMS,2025-08-21,2025-09-21,Completed,58,33.7,No,No,Online Self-Paced,2.7,MGR0041
LRN00100,EMP00771,Legal,L7,Python for Data Science,Compliance,LinkedIn Learning,2024-02-07,2024-04-21,Completed,82,34.2,No,No,Blended,2.3,MGR0035
LRN00101,EMP00436,Product,L5,Financial Acumen,Leadership,Pluralsight,2025-03-22,2025-05-03,Not Started,81,11.0,No,Yes,Online Self-Paced,3.8,MGR0021
LRN00102,EMP00170,Design,L7,Negotiation Skills,Domain,HarvardX,2022-11-09,2023-01-27,Completed,87,5.4,No,No,Blended,4.6,MGR0018
LRN00103,EMP00146,Finance,L2,Agile & Scrum Certification,Leadership,Coursera,2024-10-15,2024-11-24,Completed,54,32.6,Yes,Yes,Blended,3.6,MGR0049
LRN00104,EMP00274,HR,L4,Safety & Compliance,Leadership,HarvardX,2025-10-11,2026-01-19,Completed,100,9.2,No,Yes,Virtual Instructor-Led,1.4,MGR0017
LRN00105,EMP00333,HR,L4,Project Management Professional,Technical,Coursera,2024-01-28,2024-04-06,Dropped,63,32.1,No,No,In-Person,3.5,MGR0024
LRN00106,EMP00656,Legal,L5,SQL Mastery,Soft Skills,Custom,2024-05-03,2024-08-09,Completed,97,26.5,No,Yes,Online Self-Paced,1.2,MGR0024
LRN00107,EMP01180,Data Science,L3,Cloud Fundamentals,Leadership,Pluralsight,2025-02-13,2025-03-29,Not Started,80,33.4,Yes,Yes,In-Person,2.1,MGR0044
LRN00108,EMP00683,Product,L5,Leadership Foundations,Domain,HarvardX,2025-01-18,2025-02-23,Dropped,79,25.0,No,Yes,In-Person,4.5,MGR0034
LRN00109,EMP00235,Operations,L6,Negotiation Skills,Technical,Internal LMS,2026-07-11,2026-07-31,Dropped,76,4.2,No,No,Online Self-Paced,2.8,MGR0003
LRN00110,EMP00833,Operations,L4,Design Thinking,Leadership,Udemy,2022-01-08,2022-03-29,Dropped,84,22.4,No,No,In-Person,1.9,MGR0041
LRN00111,EMP00818,HR,L4,Cloud Fundamentals,Soft Skills,Udemy,2025-11-03,2026-01-27,Not Started,88,25.0,No,Yes,Virtual Instructor-Led,3.7,MGR0018
LRN00112,EMP00272,HR,L7,Project Management Professional,Technical,Custom,2023-07-31,2023-10-23,In Progress,61,15.6,No,No,Online Self-Paced,3.1,MGR0026
LRN00113,EMP00640,Legal,L2,Project Management Professional,Domain,Coursera,2022-07-18,2022-10-07,In Progress,95,13.7,Yes,No,Virtual Instructor-Led,1.8,MGR0043
LRN00114,EMP00169,Data Science,L2,Leadership Foundations,Leadership,Internal LMS,2024-01-09,2024-04-03,Completed,56,37.9,Yes,Yes,Blended,3.0,MGR0031
LRN00115,EMP00609,Finance,L4,Design Thinking,Domain,Custom,2023-01-20,2023-03-15,Dropped,60,30.1,No,Yes,Blended,4.1,MGR0005
LRN00116,EMP00835,Customer Success,L2,Cloud Fundamentals,Leadership,Internal LMS,2025-06-03,2025-09-07,Not Started,92,37.9,No,Yes,Online Self-Paced,1.9,MGR0046
LRN00117,EMP00644,Design,L6,Machine Learning Basics,Soft Skills,Internal LMS,2026-03-19,2026-04-19,Dropped,69,18.2,Yes,No,Virtual Instructor-Led,3.4,MGR0010
LRN00118,EMP00860,Sales,L6,Safety & Compliance,Compliance,Udemy,2025-03-22,2025-06-03,Dropped,81,23.8,Yes,No,Online Self-Paced,3.0,MGR0016
LRN00119,EMP00593,Finance,L2,Communication Skills,Technical,LinkedIn Learning,2026-02-26,2026-05-31,Completed,88,13.0,No,No,Online Self-Paced,3.3,MGR0043
LRN00120,EMP00593,Sales,L3,Cloud Fundamentals,Leadership,Pluralsight,2022-09-16,2022-12-10,In Progress,69,22.1,Yes,Yes,Blended,4.4,MGR0006
LRN00121,EMP00925,Engineering,L7,Machine Learning Basics,Soft Skills,Internal LMS,2025-10-05,2026-01-20,Completed,69,12.6,No,Yes,Blended,3.8,MGR0023
LRN00122,EMP00042,Sales,L7,Communication Skills,Soft Skills,Pluralsight,2023-01-03,2023-02-14,Not Started,77,37.7,Yes,No,In-Person,5.0,MGR0023
LRN00123,EMP00467,HR,L4,SQL Mastery,Domain,Internal LMS,2024-08-28,2024-09-27,Completed,62,11.1,No,Yes,Online Self-Paced,3.5,MGR0032
LRN00124,EMP01176,Operations,L4,Machine Learning Basics,Technical,HarvardX,2022-08-16,2022-10-23,Not Started,56,12.8,No,Yes,In-Person,3.3,MGR0045
LRN00125,EMP00736,Operations,L5,Negotiation Skills,Leadership,Pluralsight,2025-08-27,2025-11-27,In Progress,74,22.2,No,Yes,Blended,2.7,MGR0005
LRN00126,EMP00102,Customer Success,L3,Power BI Essentials,Domain,Pluralsight,2024-11-25,2025-01-02,Dropped,84,12.8,No,No,Virtual Instructor-Led,4.9,MGR0042
LRN00127,EMP00065,Product,L1,Negotiation Skills,Compliance,HarvardX,2022-02-17,2022-05-07,Not Started,66,13.9,No,Yes,Online Self-Paced,2.5,MGR0001
LRN00128,EMP00733,Design,L6,Leadership Foundations,Domain,Pluralsight,2023-06-20,2023-07-26,Completed,82,19.4,No,Yes,Online Self-Paced,1.7,MGR0041
LRN00129,EMP00490,Design,L2,Negotiation Skills,Soft Skills,Coursera,2024-02-13,2024-04-04,In Progress,100,20.1,No,No,Online Self-Paced,2.0,MGR0014
LRN00130,EMP00791,Engineering,L3,DEI in the Workplace,Technical,Internal LMS,2022-10-27,2023-01-24,In Progress,72,8.8,No,Yes,Blended,4.0,MGR0043
LRN00131,EMP00533,IT,L2,Python for Data Science,Compliance,Custom,2024-01-20,2024-03-16,Dropped,62,30.9,No,Yes,Virtual Instructor-Led,3.7,MGR0023
LRN00132,EMP00890,Finance,L2,SQL Mastery,Technical,HarvardX,2026-07-16,2026-07-31,Completed,95,1.5,No,Yes,Blended,2.0,MGR0001
LRN00133,EMP00644,Sales,L3,Machine Learning Basics,Leadership,LinkedIn Learning,2025-12-05,2026-02-22,Not Started,55,31.7,Yes,Yes,Blended,2.5,MGR0020
LRN00134,EMP00102,Data Science,L7,Excel Advanced,Compliance,Internal LMS,2026-01-08,2026-03-01,Dropped,52,2.2,No,Yes,Virtual Instructor-Led,1.8,MGR0017
LRN00135,EMP00738,Product,L5,Cloud Fundamentals,Domain,Coursera,2023-02-22,2023-05-31,Not Started,86,12.4,No,Yes,In-Person,1.3,MGR0031
LRN00136,EMP00996,Operations,L2,DEI in the Workplace,Compliance,Pluralsight,2023-07-25,2023-10-19,Dropped,72,16.2,No,Yes,Virtual Instructor-Led,3.1,MGR0050
LRN00137,EMP01051,Data Science,L5,Machine Learning Basics,Compliance,Udemy,2026-07-18,2026-07-31,In Progress,77,19.9,No,No,Blended,1.2,MGR0006
LRN00138,EMP00007,Sales,L2,Excel Advanced,Technical,Coursera,2026-02-14,2026-04-13,Dropped,72,31.5,No,Yes,Online Self-Paced,2.2,MGR0048
LRN00139,EMP00440,Operations,L3,Machine Learning Basics,Compliance,Custom,2024-11-13,2025-02-09,Not Started,86,20.5,No,No,Virtual Instructor-Led,3.2,MGR0009
LRN00140,EMP00309,Operations,L7,Agile & Scrum Certification,Leadership,LinkedIn Learning,2024-01-12,2024-04-30,In Progress,71,27.7,No,Yes,Online Self-Paced,2.4,MGR0032
LRN00141,EMP00587,Legal,L4,Design Thinking,Technical,Custom,2023-02-05,2023-05-01,In Progress,97,10.6,Yes,No,Blended,4.1,MGR0027
LRN00142,EMP00036,Customer Success,L1,Machine Learning Basics,Technical,LinkedIn Learning,2022-08-04,2022-09-30,Completed,60,7.6,Yes,Yes,Virtual Instructor-Led,3.3,MGR0024
LRN00143,EMP00367,Sales,L7,Design Thinking,Soft Skills,Pluralsight,2022-08-07,2022-11-10,In Progress,58,8.0,No,No,Online Self-Paced,2.0,MGR0009
LRN00144,EMP00839,HR,L6,Excel Advanced,Soft Skills,HarvardX,2022-12-03,2023-01-18,Completed,68,10.9,No,No,Online Self-Paced,2.3,MGR0003
LRN00145,EMP00660,Sales,L7,DEI in the Workplace,Soft Skills,Udemy,2023-07-01,2023-10-08,Dropped,81,22.2,Yes,Yes,Online Self-Paced,3.6,MGR0049
LRN00146,EMP00206,HR,L2,SQL Mastery,Domain,Internal LMS,2025-05-25,2025-07-17,In Progress,61,28.4,No,Yes,In-Person,2.4,MGR0018
LRN00147,EMP00084,HR,L2,Financial Acumen,Soft Skills,Custom,2024-04-28,2024-08-08,In Progress,55,1.9,No,No,Online Self-Paced,3.3,MGR0016
LRN00148,EMP00411,Design,L5,Leadership Foundations,Compliance,Internal LMS,2022-12-27,2023-03-10,Not Started,58,18.4,No,No,Virtual Instructor-Led,3.5,MGR0001
LRN00149,EMP00441,Operations,L4,Agile & Scrum Certification,Technical,HarvardX,2023-01-09,2023-04-23,In Progress,50,25.1,No,Yes,In-Person,1.0,MGR0045
LRN00150,EMP00895,Product,L5,SQL Mastery,Domain,Pluralsight,2025-02-22,2025-06-09,In Progress,92,21.2,Yes,Yes,In-Person,3.2,MGR0044
LRN00151,EMP00559,Legal,L1,Excel Advanced,Leadership,HarvardX,2024-07-31,2024-09-09,Completed,52,6.1,Yes,No,In-Person,1.5,MGR0021
LRN00152,EMP00812,HR,L4,Power BI Essentials,Compliance,Coursera,2024-11-30,2025-01-24,In Progress,80,1.9,No,No,Blended,3.0,MGR0035
LRN00153,EMP01105,Design,L3,Power BI Essentials,Technical,LinkedIn Learning,2024-01-26,2024-04-14,In Progress,54,2.8,No,No,Online Self-Paced,2.2,MGR0040
LRN00154,EMP00946,HR,L7,DEI in the Workplace,Soft Skills,HarvardX,2023-06-03,2023-08-18,Not Started,97,8.4,Yes,No,In-Person,2.8,MGR0005
LRN00155,EMP00093,HR,L6,Python for Data Science,Leadership,Udemy,2025-09-19,2025-11-30,Dropped,52,22.5,No,No,Blended,3.4,MGR0022
LRN00156,EMP00614,HR,L3,Cloud Fundamentals,Leadership,Coursera,2024-12-03,2025-01-14,Not Started,86,11.4,No,Yes,Online Self-Paced,1.7,MGR0046
LRN00157,EMP00888,Engineering,L4,Excel Advanced,Technical,Custom,2025-01-27,2025-05-16,Completed,85,2.3,No,Yes,Online Self-Paced,2.3,MGR0020
LRN00158,EMP00213,Finance,L1,Communication Skills,Technical,Pluralsight,2026-03-07,2026-05-20,Completed,92,3.6,No,No,Blended,3.5,MGR0046
