Job_ID,Job_Title,Job_Family,Job_Subfamily,Career_Track,Band,Band_Number,Grade,FLSA_Classification,EEO_Category,Pay_Range_Min_USD,Pay_Range_Mid_USD,Pay_Range_Max_USD,Bonus_Target_Pct,Equity_Eligible,Remote_Eligible,Span_Of_Control_Min,Span_Of_Control_Max,Typical_Years_In_Role,Succession_Critical,External_Benchmark_Source,Market_Positioning,Headcount_Current,Headcount_Target,Open_Requisitions,Last_Reviewed_Date,Job_Architecture_Version
JOB-2042,Senior Marketing Specialist,Marketing,Marketing - Core,Individual Contributor,Band 3 - Mid,3,G3A,Exempt,Professionals,80000,97500,115000,0,No,Hybrid,0,0,2,Yes,Willis Towers Watson,50th Percentile,362,426,3,2025-06-08,JA-2026.1
JOB-2043,Marketing Manager,Marketing,Marketing - Core,Management,Band 4 - Senior,4,G4B,Exempt,Officials & Managers,110000,132500,155000,5,Yes,Hybrid,5,12,6,Yes,Willis Towers Watson,75th Percentile,64,36,23,2025-11-06,JA-2026.1
JOB-2044,Senior Marketing Manager,Marketing,Marketing - Core,Management,Band 5 - Lead,5,G5B,Exempt,Officials & Managers,145000,172500,200000,30,Yes,Yes,5,17,4,Yes,Culpepper,65th Percentile,425,459,8,2025-09-14,JA-2026.1
JOB-2045,Director Marketing,Marketing,Marketing - Specialist,Management,Band 6 - Principal,6,G6C,Exempt,Technicians,190000,230000,270000,40,Yes,Hybrid,4,11,3,Yes,Culpepper,50th Percentile,315,364,19,2025-09-22,JA-2026.1
JOB-2046,VP Marketing,Marketing,Marketing - Core,Management,Band 7 - Director,7,G7A,Exempt,Administrative Support,250000,315000,380000,30,Yes,Yes,3,13,6,Yes,Aon Hewitt,75th Percentile,407,85,0,2025-08-05,JA-2026.1
JOB-2047,CMO,Marketing,Marketing - Core,Executive,Band 8 - VP,8,G8B,Exempt,Officials & Managers,350000,450000,550000,5,Yes,Yes,3,11,1,Yes,Mercer,65th Percentile,99,118,4,2025-05-13,JA-2026.1
JOB-2048,Brand Strategist,Marketing,Marketing - Operations,Executive,Band 9 - SVP/C-Suite,9,G9B,Exempt,Technicians,500000,850000,1200000,15,Yes,Yes,3,13,1,Yes,Mercer,65th Percentile,208,343,16,2025-01-22,JA-2026.1
JOB-2049,Growth Analyst,Marketing,Marketing - Specialist,Executive,Band 9 - SVP/C-Suite,9,G9C,Exempt,Managers,500000,850000,1200000,40,Yes,Hybrid,4,13,2,Yes,Radford,75th Percentile,167,567,30,2025-12-11,JA-2026.1
JOB-2050,Operations Analyst,Operations,Operations - Core,Individual Contributor,Band 1 - Entry,1,G1C,Exempt,Administrative Support,45000,55000,65000,30,No,Yes,0,0,5,No,Culpepper,50th Percentile,373,531,27,2025-10-01,JA-2026.1
JOB-2051,Operations Specialist,Operations,Operations - Core,Individual Contributor,Band 2 - Junior,2,G2A,Non-Exempt,Administrative Support,60000,72500,85000,25,Yes,Yes,0,0,4,Yes,Radford,75th Percentile,164,572,9,2025-07-05,JA-2026.1
JOB-2052,Operations Manager,Operations,Operations - Core,Management,Band 3 - Mid,3,G3C,Exempt,Managers,80000,97500,115000,5,No,Yes,5,14,2,Yes,Radford,50th Percentile,322,95,15,2025-07-20,JA-2026.1
JOB-2053,Senior Operations Manager,Operations,Operations - Specialist,Management,Band 4 - Senior,4,G4C,Exempt,Administrative Support,110000,132500,155000,30,No,No,5,9,2,No,Mercer,50th Percentile,135,101,29,2025-01-03,JA-2026.1
JOB-2054,Director Operations,Operations,Operations - Specialist,Management,Band 5 - Lead,5,G5B,Exempt,Managers,145000,172500,200000,15,Yes,Yes,5,12,4,Yes,Mercer,75th Percentile,455,133,9,2025-12-26,JA-2026.1
JOB-2055,VP Operations,Operations,Operations - Operations,Management,Band 6 - Principal,6,G6A,Exempt,Administrative Support,190000,230000,270000,20,Yes,Yes,4,14,5,Yes,Willis Towers Watson,65th Percentile,223,394,2,2025-06-26,JA-2026.1
JOB-2056,COO,Operations,Operations - Core,Individual Contributor,Band 7 - Director,7,G7B,Exempt,Technicians,250000,315000,380000,40,Yes,Yes,0,0,4,Yes,Willis Towers Watson,50th Percentile,400,520,1,2025-03-06,JA-2026.1
JOB-2057,Supply Chain Analyst,Operations,Operations - Specialist,Executive,Band 8 - VP,8,G8A,Exempt,Managers,350000,450000,550000,10,Yes,Hybrid,3,9,1,Yes,Mercer,75th Percentile,377,16,14,2025-04-14,JA-2026.1
JOB-2058,Logistics Manager,Operations,Operations - Operations,Executive,Band 9 - SVP/C-Suite,9,G9C,Exempt,Officials & Managers,500000,850000,1200000,40,Yes,Yes,4,19,1,Yes,Culpepper,50th Percentile,80,442,5,2025-03-06,JA-2026.1
JOB-2059,Process Improvement Specialist,Operations,Operations - Operations,Executive,Band 9 - SVP/C-Suite,9,G9B,Exempt,Managers,500000,850000,1200000,0,Yes,Yes,5,8,6,Yes,Radford,75th Percentile,128,584,12,2025-07-10,JA-2026.1
JOB-2060,Product Analyst,Product,Product - Core,Individual Contributor,Band 1 - Entry,1,G1B,Non-Exempt,Administrative Support,45000,55000,65000,25,Yes,Yes,0,0,3,No,Culpepper,50th Percentile,342,425,30,2025-12-13,JA-2026.1
JOB-2061,Associate Product Manager,Product,Product - Core,Management,Band 2 - Junior,2,G2C,Non-Exempt,Managers,60000,72500,85000,40,Yes,No,6,19,3,No,Aon Hewitt,50th Percentile,286,177,24,2025-01-16,JA-2026.1
JOB-2062,Product Manager,Product,Product - Operations,Management,Band 3 - Mid,3,G3B,Exempt,Technicians,80000,97500,115000,10,Yes,Yes,4,12,3,No,Aon Hewitt,65th Percentile,206,166,28,2025-05-16,JA-2026.1
JOB-2063,Senior Product Manager,Product,Product - Specialist,Management,Band 4 - Senior,4,G4A,Exempt,Professionals,110000,132500,155000,10,No,No,5,19,4,No,Mercer,65th Percentile,291,145,22,2025-11-12,JA-2026.1
JOB-2064,Principal PM,Product,Product - Core,Technical Specialist,Band 5 - Lead,5,G5C,Exempt,Officials & Managers,145000,172500,200000,10,Yes,No,0,0,2,Yes,Aon Hewitt,65th Percentile,396,434,17,2025-06-11,JA-2026.1
JOB-2065,Group PM,Product,Product - Specialist,Individual Contributor,Band 6 - Principal,6,G6A,Exempt,Professionals,190000,230000,270000,5,Yes,Yes,0,0,6,Yes,Aon Hewitt,50th Percentile,498,251,22,2025-07-28,JA-2026.1
JOB-2066,Director Product,Product,Product - Core,Management,Band 7 - Director,7,G7B,Exempt,Professionals,250000,315000,380000,10,Yes,Yes,3,9,6,Yes,Aon Hewitt,65th Percentile,111,269,14,2025-06-23,JA-2026.1
JOB-2067,VP Product,Product,Product - Operations,Executive,Band 8 - VP,8,G8A,Exempt,Technicians,350000,450000,550000,30,Yes,No,5,12,6,Yes,Mercer,75th Percentile,474,147,15,2025-10-19,JA-2026.1
JOB-2068,Chief Product Officer,Product,Product - Specialist,Executive,Band 9 - SVP/C-Suite,9,G9C,Exempt,Technicians,500000,850000,1200000,40,Yes,No,6,10,4,Yes,Culpepper,65th Percentile,306,308,17,2025-08-17,JA-2026.1
JOB-2069,Product Operations Manager,Product,Product - Operations,Executive,Band 9 - SVP/C-Suite,9,G9B,Exempt,Professionals,500000,850000,1200000,40,Yes,Yes,6,11,1,Yes,Willis Towers Watson,65th Percentile,6,391,13,2025-06-10,JA-2026.1
JOB-2070,Sales Development Rep,Sales,Sales - Operations,Individual Contributor,Band 1 - Entry,1,G1A,Exempt,Technicians,45000,55000,65000,5,No,Yes,0,0,1,Yes,Culpepper,75th Percentile,97,138,30,2025-04-23,JA-2026.1
JOB-2071,Account Executive,Sales,Sales - Core,Individual Contributor,Band 2 - Junior,2,G2B,Non-Exempt,Professionals,60000,72500,85000,0,Yes,Yes,0,0,2,Yes,Culpepper,50th Percentile,110,530,24,2025-01-04,JA-2026.1
JOB-2072,Senior Account Executive,Sales,Sales - Core,Individual Contributor,Band 3 - Mid,3,G3B,Exempt,Managers,80000,97500,115000,40,No,Hybrid,0,0,3,No,Mercer,65th Percentile,9,463,3,2025-03-27,JA-2026.1
JOB-2073,Sales Manager,Sales,Sales - Operations,Management,Band 4 - Senior,4,G4A,Exempt,Technicians,110000,132500,155000,30,No,Hybrid,5,10,6,No,Willis Towers Watson,75th Percentile,155,492,20,2025-09-11,JA-2026.1
JOB-2074,Senior Sales Manager,Sales,Sales - Core,Management,Band 5 - Lead,5,G5B,Exempt,Professionals,145000,172500,200000,20,Yes,Yes,5,9,1,No,Willis Towers Watson,75th Percentile,468,4,5,2025-07-10,JA-2026.1
JOB-2075,Director Sales,Sales,Sales - Specialist,Management,Band 6 - Principal,6,G6B,Exempt,Administrative Support,190000,230000,270000,25,Yes,Hybrid,5,19,3,No,Mercer,75th Percentile,424,237,21,2025-06-08,JA-2026.1
JOB-2076,VP Sales,Sales,Sales - Operations,Management,Band 7 - Director,7,G7A,Exempt,Professionals,250000,315000,380000,40,Yes,Yes,3,18,2,Yes,Radford,65th Percentile,200,329,7,2025-05-06,JA-2026.1
JOB-2077,Chief Revenue Officer,Sales,Sales - Core,Executive,Band 8 - VP,8,G8A,Exempt,Administrative Support,350000,450000,550000,20,Yes,No,4,18,1,Yes,Willis Towers Watson,65th Percentile,98,387,8,2025-09-12,JA-2026.1
JOB-2078,Sales Engineer,Sales,Sales - Operations,Executive,Band 9 - SVP/C-Suite,9,G9A,Exempt,Technicians,500000,850000,1200000,0,Yes,Yes,4,8,3,Yes,Willis Towers Watson,65th Percentile,75,62,4,2025-05-28,JA-2026.1
JOB-2079,Regional Sales Director,Sales,Sales - Operations,Executive,Band 9 - SVP/C-Suite,9,G9B,Exempt,Administrative Support,500000,850000,1200000,20,Yes,Yes,5,11,1,Yes,Mercer,65th Percentile,221,116,26,2025-11-03,JA-2026.1
JOB-2080,CX Specialist,Customer Experience,Customer Experience - Operations,Individual Contributor,Band 1 - Entry,1,G1A,Exempt,Professionals,45000,55000,65000,15,No,No,0,0,4,No,Mercer,75th Percentile,430,239,6,2025-08-08,JA-2026.1
JOB-2081,CX Analyst,Customer Experience,Customer Experience - Specialist,Individual Contributor,Band 2 - Junior,2,G2B,Non-Exempt,Technicians,60000,72500,85000,40,Yes,Hybrid,0,0,5,Yes,Mercer,65th Percentile,498,479,25,2025-04-16,JA-2026.1
JOB-2082,CX Manager,Customer Experience,Customer Experience - Core,Management,Band 3 - Mid,3,G3C,Exempt,Professionals,80000,97500,115000,10,Yes,Yes,5,14,1,Yes,Radford,50th Percentile,9,255,2,2025-03-05,JA-2026.1
JOB-2083,Senior CX Manager,Customer Experience,Customer Experience - Core,Management,Band 4 - Senior,4,G4A,Exempt,Professionals,110000,132500,155000,0,No,Hybrid,5,10,4,No,Culpepper,50th Percentile,220,185,15,2025-04-11,JA-2026.1
JOB-2084,Director CX,Customer Experience,Customer Experience - Operations,Management,Band 5 - Lead,5,G5B,Exempt,Managers,145000,172500,200000,5,Yes,Hybrid,4,19,3,No,Culpepper,50th Percentile,327,222,21,2025-04-13,JA-2026.1
JOB-2085,VP Customer Success,Customer Experience,Customer Experience - Core,Management,Band 6 - Principal,6,G6C,Exempt,Administrative Support,190000,230000,270000,25,Yes,Yes,6,9,3,No,Mercer,50th Percentile,18,168,15,2025-03-03,JA-2026.1
JOB-2086,Chief Customer Officer,Customer Experience,Customer Experience - Core,Individual Contributor,Band 7 - Director,7,G7A,Exempt,Technicians,250000,315000,380000,10,Yes,No,0,0,1,Yes,Culpepper,65th Percentile,42,248,6,2025-09-22,JA-2026.1
JOB-2087,Onboarding Specialist,Customer Experience,Customer Experience - Operations,Executive,Band 8 - VP,8,G8A,Exempt,Administrative Support,350000,450000,550000,40,Yes,No,5,19,5,Yes,Willis Towers Watson,75th Percentile,226,134,17,2025-08-26,JA-2026.1
JOB-2088,Support Lead,Customer Experience,Customer Experience - Operations,Executive,Band 9 - SVP/C-Suite,9,G9B,Exempt,Officials & Managers,500000,850000,1200000,15,Yes,Yes,4,9,6,Yes,Radford,50th Percentile,309,242,28,2025-09-28,JA-2026.1
JOB-2089,Voice of Customer Analyst,Customer Experience,Customer Experience - Core,Executive,Band 9 - SVP/C-Suite,9,G9C,Exempt,Administrative Support,500000,850000,1200000,30,Yes,Hybrid,3,12,4,Yes,Mercer,75th Percentile,185,54,2,2025-11-04,JA-2026.1
JOB-2090,Legal Coordinator,Legal & Compliance,Legal & Compliance - Operations,Individual Contributor,Band 1 - Entry,1,G1C,Exempt,Managers,45000,55000,65000,25,Yes,Yes,0,0,6,No,Willis Towers Watson,75th Percentile,437,475,30,2025-03-28,JA-2026.1
JOB-2091,Paralegal,Legal & Compliance,Legal & Compliance - Specialist,Individual Contributor,Band 2 - Junior,2,G2C,Non-Exempt,Technicians,60000,72500,85000,15,No,Hybrid,0,0,2,Yes,Aon Hewitt,75th Percentile,294,129,15,2025-05-23,JA-2026.1
JOB-2092,Compliance Analyst,Legal & Compliance,Legal & Compliance - Operations,Individual Contributor,Band 3 - Mid,3,G3B,Exempt,Officials & Managers,80000,97500,115000,10,Yes,Hybrid,0,0,1,No,Willis Towers Watson,50th Percentile,436,374,0,2025-07-13,JA-2026.1
JOB-2093,Compliance Manager,Legal & Compliance,Legal & Compliance - Core,Management,Band 4 - Senior,4,G4C,Exempt,Administrative Support,110000,132500,155000,20,Yes,Yes,6,20,5,Yes,Culpepper,65th Percentile,100,160,26,2025-01-13,JA-2026.1
JOB-2094,Legal Counsel,Legal & Compliance,Legal & Compliance - Operations,Individual Contributor,Band 5 - Lead,5,G5A,Exempt,Officials & Managers,145000,172500,200000,5,Yes,No,0,0,3,No,Culpepper,75th Percentile,380,499,0,2025-11-10,JA-2026.1
JOB-2095,Senior Counsel,Legal & Compliance,Legal & Compliance - Core,Individual Contributor,Band 6 - Principal,6,G6B,Exempt,Administrative Support,190000,230000,270000,25,Yes,Yes,0,0,3,No,Radford,75th Percentile,347,26,20,2025-03-03,JA-2026.1
JOB-2096,Director Legal,Legal & Compliance,Legal & Compliance - Core,Management,Band 7 - Director,7,G7C,Exempt,Technicians,250000,315000,380000,20,Yes,Yes,4,17,4,Yes,Radford,65th Percentile,112,392,26,2025-12-09,JA-2026.1
JOB-2097,VP Legal,Legal & Compliance,Legal & Compliance - Specialist,Executive,Band 8 - VP,8,G8B,Exempt,Professionals,350000,450000,550000,10,Yes,Yes,3,9,4,Yes,Mercer,75th Percentile,224,151,6,2025-10-19,JA-2026.1
JOB-2098,General Counsel,Legal & Compliance,Legal & Compliance - Specialist,Executive,Band 9 - SVP/C-Suite,9,G9B,Exempt,Professionals,500000,850000,1200000,5,Yes,Yes,5,20,4,Yes,Mercer,50th Percentile,424,517,29,2025-02-09,JA-2026.1
JOB-2099,Privacy Officer,Legal & Compliance,Legal & Compliance - Core,Executive,Band 9 - SVP/C-Suite,9,G9B,Exempt,Technicians,500000,850000,1200000,20,Yes,No,4,16,6,Yes,Willis Towers Watson,75th Percentile,222,334,23,2025-03-29,JA-2026.1
JOB-2100,Supply Chain Analyst,Operations,Operations - Specialist,Executive,Band 8 - VP,8,G8A,Exempt,Managers,324921,435489,546057,10,Yes,Hybrid,3,9,1,Yes,Mercer,75th Percentile,70,381,7,2025-04-14,JA-2026.1
JOB-2101,Finance Manager,Finance,Finance - Core,Management,Band 3 - Mid,3,G3A,Exempt,Technicians,77610,97694,117779,15,No,No,3,11,3,No,Culpepper,65th Percentile,192,356,12,2025-11-18,JA-2026.1
JOB-2102,Engineering Manager,Engineering,Engineering - Operations,Management,Band 6 - Principal,6,G6A,Exempt,Technicians,196763,220461,244159,20,Yes,Yes,6,13,2,No,Mercer,50th Percentile,110,252,16,2025-05-12,JA-2026.1
JOB-2103,Chief Customer Officer,Customer Experience,Customer Experience - Core,Individual Contributor,Band 7 - Director,7,G7A,Exempt,Technicians,258724,335931,413138,10,Yes,No,0,0,1,Yes,Culpepper,65th Percentile,219,273,1,2025-09-22,JA-2026.1
JOB-2104,COO,Operations,Operations - Core,Individual Contributor,Band 7 - Director,7,G7B,Exempt,Technicians,245517,294460,343403,40,Yes,Yes,0,0,4,Yes,Willis Towers Watson,50th Percentile,303,443,20,2025-03-06,JA-2026.1
JOB-2105,Chief People Officer,People & HR,People & HR - Core,Executive,Band 9 - SVP/C-Suite,9,G9C,Exempt,Managers,514809,817972,1121136,10,Yes,Yes,6,8,5,Yes,Radford,50th Percentile,39,128,17,2025-06-03,JA-2026.1
JOB-2106,Senior CX Manager,Customer Experience,Customer Experience - Core,Management,Band 4 - Senior,4,G4A,Exempt,Professionals,113304,140460,167616,0,No,Hybrid,5,10,4,No,Culpepper,50th Percentile,115,161,12,2025-04-11,JA-2026.1
JOB-2107,Director CX,Customer Experience,Customer Experience - Operations,Management,Band 5 - Lead,5,G5B,Exempt,Managers,147461,175179,202898,5,Yes,Hybrid,4,19,3,No,Culpepper,50th Percentile,183,357,2,2025-04-13,JA-2026.1
