requisition_id,candidate_id,department,job_title,job_level,location,source,applied_date,stage,days_to_hire,offer_extended,offer_accepted,offer_amount,diversity_flag,campus_hire,hired,rejection_reason,recruiter_id,hiring_manager_id,interview_rounds,cost_per_hire
REQ00034,CAND00034,Design,Engineer,L5,Dallas,Campus Recruiting,2022-07-30,Hired,21,Yes,Pending,156958,Yes,Yes,No,None,REC11,MGR0039,1,10320
REQ00035,CAND00035,Engineering,Associate,L6,Denver,Direct Application,2023-02-27,Panel Interview,27,No,Yes,146256,No,No,No,Culture Fit,REC19,MGR0029,3,6585
REQ00036,CAND00036,HR,Engineer,L3,San Francisco,Direct Application,2022-07-24,Phone Interview,24,No,Pending,81349,No,No,No,Position Closed,REC07,MGR0036,5,5220
REQ00037,CAND00037,IT,Senior Engineer,L4,Boston,Glassdoor,2024-11-03,Withdrawn,47,No,Yes,151074,No,Yes,No,Position Closed,REC14,MGR0028,1,2508
REQ00038,CAND00038,Sales,Senior Engineer,L4,Denver,Employee Referral,2022-04-05,Offer,104,No,No,50630,No,No,Yes,None,REC18,MGR0029,2,9071
REQ00039,CAND00039,Engineering,Analyst,L1,Denver,Internal Transfer,2023-03-14,Hired,45,No,Pending,121966,Yes,No,No,Overqualified,REC06,MGR0004,6,11448
REQ00040,CAND00040,Customer Success,Director,L2,Austin,Agency,2020-09-15,Hired,51,Yes,Pending,64572,No,Yes,No,Overqualified,REC12,MGR0044,2,4909
REQ00041,CAND00041,Operations,Analyst,L7,Chicago,Indeed,2024-09-15,Panel Interview,100,Yes,Yes,56767,No,Yes,No,Culture Fit,REC02,MGR0036,5,13655
REQ00042,CAND00042,Data Science,Manager,L6,Austin,Glassdoor,2023-10-16,Panel Interview,107,Yes,No,158188,Yes,No,No,Withdrew,REC02,MGR0034,5,12995
REQ00043,CAND00043,Data Science,Senior Engineer,L2,Denver,Agency,2025-07-02,Panel Interview,72,No,No,158400,Yes,Yes,No,Overqualified,REC02,MGR0036,3,14848
REQ00044,CAND00044,IT,Associate,L6,Remote,LinkedIn,2022-02-12,Screening,64,Yes,No,185839,No,No,Yes,Salary Mismatch,REC13,MGR0002,1,2795
REQ00045,CAND00045,HR,Analyst,L1,Remote,Agency,2023-07-14,Withdrawn,92,No,Yes,113225,No,No,No,Failed Assessment,REC03,MGR0047,5,6474
REQ00046,CAND00046,Engineering,Analyst,L4,Atlanta,Campus Recruiting,2022-11-20,Offer,12,Yes,No,121619,No,Yes,No,None,REC08,MGR0047,1,5691
REQ00047,CAND00047,Design,Associate,L7,San Francisco,Glassdoor,2025-10-30,Offer,57,Yes,Yes,158565,No,Yes,Yes,Failed Assessment,REC20,MGR0047,2,9607
REQ00048,CAND00048,Operations,Manager,L5,Dallas,Direct Application,2024-12-30,Withdrawn,117,Yes,No,156404,No,No,Yes,Overqualified,REC14,MGR0029,2,8961
REQ00049,CAND00049,Operations,Analyst,L2,Atlanta,Internal Transfer,2025-06-11,Technical Assessment,120,No,Yes,74931,No,Yes,No,Withdrew,REC09,MGR0022,3,14124
REQ00050,CAND00050,Finance,Engineer,L6,Remote,Employee Referral,2025-12-01,Screening,63,No,Yes,176783,Yes,No,No,None,REC16,MGR0019,2,3540
REQ00051,CAND00051,IT,Engineer,L1,Seattle,Glassdoor,2020-10-28,Screening,55,Yes,Pending,199609,No,Yes,No,Overqualified,REC02,MGR0010,6,1146
REQ00052,CAND00052,Data Science,Associate,L2,Seattle,Indeed,2021-10-01,Offer,15,No,Yes,193874,Yes,Yes,Yes,None,REC17,MGR0027,2,9489
REQ00053,CAND00053,Customer Success,Analyst,L7,Dallas,Glassdoor,2026-07-09,Phone Interview,79,No,Yes,64405,No,Yes,No,None,REC20,MGR0014,1,11633
REQ00054,CAND00054,Marketing,Associate,L7,Seattle,Employee Referral,2022-06-06,Screening,17,Yes,Pending,96476,Yes,No,No,Position Closed,REC04,MGR0027,2,3960
REQ00055,CAND00055,Operations,Senior Analyst,L6,Seattle,Indeed,2022-12-01,Screening,12,No,No,191994,Yes,Yes,No,Failed Assessment,REC08,MGR0008,1,14847
REQ00056,CAND00056,Engineering,Senior Engineer,L6,Boston,Indeed,2022-07-20,Rejected,12,Yes,No,117024,Yes,No,No,None,REC02,MGR0046,3,3945
REQ00057,CAND00057,Design,Analyst,L4,Boston,Agency,2025-09-21,Panel Interview,104,Yes,No,144887,No,No,No,Salary Mismatch,REC11,MGR0010,4,5175
REQ00058,CAND00058,Operations,Analyst,L4,Austin,Glassdoor,2024-05-22,Screening,113,Yes,No,78272,Yes,No,Yes,Failed Assessment,REC17,MGR0020,3,9315
REQ00059,CAND00059,Operations,Associate,L4,Boston,Glassdoor,2022-06-20,Screening,48,Yes,Pending,75711,Yes,Yes,No,Culture Fit,REC08,MGR0041,2,3906
REQ00060,CAND00060,IT,Associate,L4,San Francisco,Glassdoor,2021-08-03,Applied,11,Yes,Yes,166819,Yes,No,No,Withdrew,REC07,MGR0039,6,5718
REQ00061,CAND00061,Engineering,Analyst,L6,Dallas,Employee Referral,2025-12-06,Rejected,43,No,Yes,73737,No,Yes,No,Culture Fit,REC08,MGR0002,6,9379
REQ00062,CAND00062,Legal,Director,L4,Austin,Employee Referral,2023-04-23,Rejected,75,Yes,No,183685,No,Yes,No,Position Closed,REC03,MGR0031,4,12977
REQ00063,CAND00063,Engineering,Senior Analyst,L4,New York,Indeed,2023-11-07,Screening,87,Yes,Yes,141336,Yes,Yes,No,Overqualified,REC20,MGR0034,1,1480
REQ00064,CAND00064,Customer Success,Associate,L7,Seattle,Campus Recruiting,2026-07-25,Hired,50,Yes,No,188525,Yes,No,No,Culture Fit,REC07,MGR0018,2,1450
REQ00065,CAND00065,Engineering,Director,L7,Chicago,Indeed,2023-06-09,Offer,103,Yes,Pending,147153,No,Yes,Yes,Culture Fit,REC12,MGR0011,3,12338
REQ00066,CAND00066,Operations,Manager,L3,Atlanta,Agency,2021-02-24,Withdrawn,19,No,Pending,51615,Yes,Yes,Yes,Failed Assessment,REC07,MGR0033,5,3303
REQ00067,CAND00067,Sales,Director,L2,Seattle,Internal Transfer,2021-02-05,Applied,25,No,No,115849,Yes,Yes,No,Position Closed,REC17,MGR0018,2,10538
REQ00068,CAND00068,Data Science,Director,L7,Chicago,Employee Referral,2022-05-16,Rejected,94,No,Pending,73063,No,Yes,Yes,Overqualified,REC10,MGR0042,1,2041
REQ00069,CAND00069,Engineering,Associate,L5,Seattle,LinkedIn,2021-01-26,Offer,62,No,Pending,193753,No,No,No,None,REC20,MGR0004,4,10643
REQ00070,CAND00070,Sales,Engineer,L3,New York,Campus Recruiting,2024-05-18,Phone Interview,92,Yes,Yes,159473,Yes,Yes,No,Position Closed,REC02,MGR0008,4,7030
REQ00071,CAND00071,HR,Analyst,L2,Remote,Glassdoor,2022-10-13,Technical Assessment,108,No,Yes,155416,Yes,No,No,Failed Assessment,REC10,MGR0017,6,9230
REQ00072,CAND00072,IT,Engineer,L7,Chicago,Agency,2026-07-07,Withdrawn,72,No,Pending,120428,No,Yes,Yes,None,REC05,MGR0018,1,8651
REQ00073,CAND00073,IT,Associate,L7,San Francisco,Direct Application,2024-03-12,Panel Interview,107,No,Pending,56289,No,No,No,None,REC10,MGR0047,1,13817
REQ00074,CAND00074,Sales,Associate,L6,Seattle,Employee Referral,2020-08-08,Technical Assessment,41,No,Yes,198945,No,No,Yes,Withdrew,REC05,MGR0008,4,14031
REQ00075,CAND00075,Sales,Manager,L4,Atlanta,Direct Application,2022-08-25,Screening,55,No,No,108260,No,No,No,Overqualified,REC08,MGR0025,3,13394
REQ00076,CAND00076,Data Science,Analyst,L1,Denver,Campus Recruiting,2022-09-08,Offer,27,No,No,92684,No,Yes,No,Position Closed,REC16,MGR0003,1,5571
REQ00077,CAND00077,Product,Engineer,L1,New York,Indeed,2021-12-03,Hired,88,No,No,88658,Yes,No,No,Failed Assessment,REC02,MGR0018,4,4431
REQ00078,CAND00078,Finance,Senior Analyst,L1,Seattle,Campus Recruiting,2024-11-11,Rejected,107,No,Pending,180604,No,Yes,No,Withdrew,REC13,MGR0003,4,8499
REQ00079,CAND00079,Engineering,Associate,L6,San Francisco,Indeed,2020-01-26,Withdrawn,12,Yes,Yes,128548,Yes,Yes,No,None,REC03,MGR0003,1,10538
REQ00080,CAND00080,Marketing,Senior Engineer,L6,Boston,Glassdoor,2025-09-04,Technical Assessment,49,Yes,No,138829,No,No,Yes,Culture Fit,REC18,MGR0008,6,7158
REQ00081,CAND00081,Data Science,Senior Analyst,L4,Boston,Agency,2022-01-23,Hired,69,No,Yes,123026,No,No,No,Salary Mismatch,REC19,MGR0020,3,3181
REQ00082,CAND00082,Customer Success,Associate,L6,Austin,Agency,2025-10-24,Applied,79,Yes,Yes,154140,No,Yes,No,Failed Assessment,REC05,MGR0011,4,14919
REQ00083,CAND00083,Operations,Manager,L5,Atlanta,Internal Transfer,2022-02-23,Rejected,28,No,Yes,138779,No,Yes,No,Position Closed,REC16,MGR0020,4,9339
REQ00084,CAND00084,HR,Engineer,L7,Dallas,Campus Recruiting,2024-03-27,Applied,56,No,Yes,177494,Yes,No,No,Culture Fit,REC19,MGR0016,6,1709
REQ00085,CAND00085,Finance,Associate,L1,Chicago,Direct Application,2022-05-28,Applied,70,Yes,Pending,177584,No,Yes,No,Overqualified,REC13,MGR0005,2,11123
REQ00086,CAND00086,Engineering,Associate,L4,Seattle,LinkedIn,2025-12-04,Applied,106,Yes,Pending,187398,Yes,No,Yes,Culture Fit,REC18,MGR0015,6,1356
REQ00087,CAND00087,Engineering,Manager,L4,Remote,Campus Recruiting,2023-02-26,Screening,64,Yes,Yes,109501,No,No,Yes,Failed Assessment,REC20,MGR0013,5,3681
REQ00088,CAND00088,Data Science,Manager,L4,Boston,Internal Transfer,2022-07-22,Panel Interview,47,No,Pending,92260,No,No,No,Culture Fit,REC08,MGR0032,4,3484
REQ00089,CAND00089,Finance,Senior Analyst,L5,Chicago,Campus Recruiting,2020-05-05,Offer,36,Yes,Yes,146935,Yes,No,No,Failed Assessment,REC16,MGR0034,4,11778
REQ00090,CAND00090,HR,Engineer,L3,New York,Glassdoor,2021-04-08,Withdrawn,56,No,Yes,101365,No,No,No,None,REC17,MGR0041,6,1679
REQ00091,CAND00091,Marketing,Senior Engineer,L1,Remote,Direct Application,2022-10-05,Hired,68,Yes,Yes,161380,Yes,No,No,Withdrew,REC18,MGR0022,4,9301
REQ00092,CAND00092,Finance,Senior Analyst,L3,Atlanta,Agency,2025-12-31,Withdrawn,55,Yes,Pending,62802,No,Yes,Yes,Salary Mismatch,REC15,MGR0010,4,11216
REQ00093,CAND00093,Marketing,Engineer,L6,Seattle,Direct Application,2023-08-31,Screening,51,No,No,128817,Yes,Yes,No,Overqualified,REC12,MGR0006,1,7525
REQ00094,CAND00094,Legal,Associate,L6,Dallas,Direct Application,2024-02-04,Rejected,41,Yes,Yes,151290,No,No,No,None,REC19,MGR0039,6,12208
REQ00095,CAND00095,HR,Associate,L1,Austin,Glassdoor,2022-05-12,Screening,110,No,Yes,114141,Yes,Yes,No,Overqualified,REC14,MGR0027,6,6300
REQ00096,CAND00096,HR,Manager,L7,Chicago,Employee Referral,2021-08-13,Panel Interview,58,No,Pending,169316,No,Yes,No,None,REC10,MGR0044,5,5480
REQ00097,CAND00097,Marketing,Manager,L6,Chicago,Employee Referral,2024-06-06,Panel Interview,35,No,No,53700,Yes,No,Yes,Overqualified,REC09,MGR0028,2,6275
REQ00098,CAND00098,Operations,Associate,L3,San Francisco,Indeed,2026-06-06,Withdrawn,13,No,Pending,101558,Yes,No,No,None,REC11,MGR0014,3,1501
REQ00099,CAND00099,IT,Manager,L4,Atlanta,Campus Recruiting,2020-05-02,Withdrawn,12,No,Yes,73139,No,No,No,Salary Mismatch,REC07,MGR0015,5,5907
REQ00100,CAND00100,Operations,Senior Engineer,L4,Seattle,Direct Application,2020-09-22,Applied,63,No,Pending,56768,Yes,Yes,Yes,Salary Mismatch,REC14,MGR0042,3,3741
REQ00101,CAND00101,Product,Senior Engineer,L7,Austin,Indeed,2020-01-14,Offer,52,Yes,Yes,132377,No,Yes,No,Culture Fit,REC04,MGR0017,5,9519
REQ00102,CAND00102,Product,Senior Engineer,L3,Boston,Agency,2026-07-06,Hired,74,No,Yes,99507,Yes,No,No,Withdrew,REC19,MGR0046,5,10497
REQ00103,CAND00103,Customer Success,Senior Engineer,L7,Boston,Direct Application,2020-03-01,Phone Interview,16,Yes,Pending,100931,No,Yes,No,Withdrew,REC13,MGR0043,4,13216
REQ00104,CAND00104,Legal,Director,L4,Chicago,Employee Referral,2023-09-09,Offer,90,No,Yes,172180,Yes,No,No,Failed Assessment,REC13,MGR0036,3,1824
REQ00105,CAND00105,Product,Director,L6,Boston,Employee Referral,2020-02-01,Offer,28,Yes,Yes,136145,Yes,Yes,No,Failed Assessment,REC14,MGR0002,4,8247
REQ00106,CAND00106,Finance,Manager,L5,Denver,Campus Recruiting,2025-11-29,Screening,25,Yes,No,189211,Yes,No,No,Overqualified,REC01,MGR0042,4,10273
REQ00107,CAND00107,Marketing,Analyst,L5,Austin,LinkedIn,2026-04-09,Phone Interview,46,No,Yes,165250,No,Yes,No,Failed Assessment,REC13,MGR0018,3,9912
REQ00108,CAND00108,Sales,Associate,L3,Remote,Agency,2026-01-21,Screening,91,No,No,120672,Yes,No,Yes,Culture Fit,REC03,MGR0040,4,13670
REQ00109,CAND00109,Marketing,Analyst,L4,Chicago,Campus Recruiting,2020-09-11,Withdrawn,36,Yes,Yes,130156,No,Yes,No,Overqualified,REC12,MGR0050,2,2159
REQ00110,CAND00110,Customer Success,Senior Engineer,L4,Atlanta,Campus Recruiting,2022-05-09,Screening,92,No,Yes,116527,No,No,No,Failed Assessment,REC01,MGR0030,1,4501
REQ00111,CAND00111,Finance,Manager,L7,Denver,Campus Recruiting,2026-04-15,Offer,80,No,Yes,162744,Yes,No,No,Salary Mismatch,REC08,MGR0050,5,8852
REQ00112,CAND00112,Design,Senior Analyst,L6,New York,Campus Recruiting,2022-06-10,Panel Interview,82,Yes,Pending,186930,No,Yes,Yes,Culture Fit,REC17,MGR0044,6,13880
REQ00113,CAND00113,Product,Senior Analyst,L5,Atlanta,Direct Application,2024-05-23,Applied,13,No,Pending,50080,No,Yes,No,Failed Assessment,REC19,MGR0003,2,3913
REQ00114,CAND00114,Design,Senior Engineer,L6,Denver,Glassdoor,2021-10-28,Screening,32,No,Pending,77069,No,No,No,Failed Assessment,REC17,MGR0014,6,7163
REQ00115,CAND00115,Data Science,Analyst,L2,Remote,LinkedIn,2025-04-26,Withdrawn,81,No,Pending,64689,No,No,Yes,Salary Mismatch,REC02,MGR0008,2,13196
REQ00116,CAND00116,Marketing,Director,L2,San Francisco,Agency,2025-08-30,Panel Interview,29,Yes,Yes,143690,No,Yes,No,Salary Mismatch,REC15,MGR0004,2,11509
REQ00117,CAND00117,Finance,Senior Engineer,L3,Austin,LinkedIn,2022-11-30,Withdrawn,25,No,Pending,80692,No,No,No,Overqualified,REC12,MGR0044,1,1270
REQ00118,CAND00118,Operations,Analyst,L4,Dallas,Agency,2025-10-22,Applied,50,Yes,Pending,114081,No,No,Yes,Overqualified,REC15,MGR0015,4,13386
REQ00119,CAND00119,Engineering,Engineer,L7,Dallas,Indeed,2021-09-05,Phone Interview,55,No,No,152086,No,No,No,Salary Mismatch,REC17,MGR0003,4,3746
REQ00120,CAND00120,Finance,Senior Engineer,L4,Dallas,LinkedIn,2022-12-13,Phone Interview,40,No,Yes,178098,Yes,Yes,No,Position Closed,REC15,MGR0047,2,12972
REQ00121,CAND00121,Engineering,Analyst,L5,Dallas,LinkedIn,2024-10-24,Technical Assessment,77,Yes,No,132746,Yes,No,Yes,Withdrew,REC17,MGR0010,3,12736
REQ00122,CAND00122,Design,Analyst,L3,Remote,Campus Recruiting,2026-03-08,Panel Interview,22,Yes,Yes,154217,No,No,No,Position Closed,REC19,MGR0018,6,9438
REQ00123,CAND00123,Data Science,Associate,L4,New York,Direct Application,2026-06-28,Panel Interview,83,No,No,118046,No,Yes,Yes,None,REC01,MGR0042,6,14740
REQ00124,CAND00124,Engineering,Director,L2,Boston,LinkedIn,2025-09-06,Screening,52,Yes,No,188436,No,Yes,No,None,REC18,MGR0005,3,9700
REQ00125,CAND00125,Product,Engineer,L2,Remote,LinkedIn,2026-07-13,Applied,84,Yes,No,79928,No,Yes,Yes,Failed Assessment,REC01,MGR0012,6,12447
REQ00126,CAND00126,Engineering,Associate,L6,San Francisco,Glassdoor,2025-10-10,Technical Assessment,118,Yes,No,186605,Yes,Yes,Yes,Failed Assessment,REC04,MGR0020,5,9576
REQ00127,CAND00127,Product,Director,L7,Chicago,Agency,2022-02-11,Hired,99,No,Yes,127280,No,No,No,Failed Assessment,REC06,MGR0006,6,12717
REQ00128,CAND00128,Legal,Engineer,L1,Dallas,Campus Recruiting,2020-01-04,Applied,35,No,No,104562,No,No,No,Culture Fit,REC07,MGR0044,3,5502
REQ00129,CAND00129,Product,Associate,L7,Remote,Agency,2024-05-05,Technical Assessment,108,Yes,No,180551,Yes,No,No,Salary Mismatch,REC02,MGR0049,3,7837
REQ00130,CAND00130,HR,Director,L4,New York,Indeed,2026-07-13,Withdrawn,79,No,No,86908,Yes,Yes,Yes,None,REC09,MGR0026,1,5243
REQ00131,CAND00131,Marketing,Senior Analyst,L7,Boston,LinkedIn,2020-11-05,Panel Interview,119,No,Pending,144236,Yes,Yes,Yes,Salary Mismatch,REC12,MGR0038,4,13711
REQ00132,CAND00132,Design,Associate,L2,Dallas,Internal Transfer,2025-06-17,Withdrawn,43,Yes,Pending,144934,No,No,No,None,REC17,MGR0033,4,12352
REQ00133,CAND00133,Marketing,Senior Engineer,L1,Denver,Indeed,2022-05-31,Technical Assessment,84,Yes,No,142735,No,Yes,No,None,REC09,MGR0017,6,3607
REQ00134,CAND00134,Engineering,Director,L4,Seattle,Campus Recruiting,2025-09-13,Phone Interview,20,No,Pending,137190,Yes,No,No,Withdrew,REC20,MGR0017,6,13560
REQ00135,CAND00135,Data Science,Associate,L4,Seattle,Campus Recruiting,2025-03-23,Screening,54,Yes,Pending,177137,No,No,Yes,Culture Fit,REC14,MGR0025,2,6224
REQ00136,CAND00136,Customer Success,Director,L6,San Francisco,Direct Application,2021-12-08,Panel Interview,43,No,Yes,117528,No,No,Yes,Salary Mismatch,REC16,MGR0034,3,6786
REQ00137,CAND00137,Sales,Associate,L2,Dallas,Campus Recruiting,2020-09-18,Offer,21,Yes,Yes,84906,Yes,Yes,Yes,Culture Fit,REC16,MGR0009,1,10482
REQ00138,CAND00138,Legal,Associate,L2,Boston,LinkedIn,2024-02-03,Offer,73,No,Pending,87157,Yes,No,No,Withdrew,REC09,MGR0009,1,1275
REQ00139,CAND00139,Data Science,Associate,L4,Seattle,Direct Application,2024-09-26,Rejected,64,Yes,No,153739,Yes,No,No,None,REC01,MGR0028,6,10577
REQ00140,CAND00140,Marketing,Analyst,L6,Austin,Indeed,2023-04-14,Phone Interview,93,No,Pending,187828,No,Yes,No,Culture Fit,REC18,MGR0018,1,6665
REQ00141,CAND00141,IT,Director,L5,Dallas,Campus Recruiting,2023-03-19,Rejected,91,No,Yes,79987,Yes,No,No,Failed Assessment,REC04,MGR0015,1,11854
REQ00142,CAND00142,Engineering,Senior Analyst,L3,Denver,Employee Referral,2020-10-08,Panel Interview,86,No,Pending,93809,Yes,No,Yes,Overqualified,REC14,MGR0030,4,13359
REQ00143,CAND00143,Product,Associate,L4,Chicago,Employee Referral,2022-11-30,Technical Assessment,91,Yes,No,74578,Yes,No,Yes,Culture Fit,REC15,MGR0009,5,12329
REQ00144,CAND00144,Operations,Senior Engineer,L3,Remote,Internal Transfer,2022-10-19,Technical Assessment,29,No,Pending,176815,Yes,No,No,Withdrew,REC11,MGR0049,1,3514
REQ00145,CAND00145,Customer Success,Senior Analyst,L5,Remote,Employee Referral,2023-01-02,Phone Interview,14,No,Pending,69991,No,No,No,Failed Assessment,REC19,MGR0048,2,9106
REQ00146,CAND00146,Product,Senior Engineer,L7,Atlanta,Agency,2022-05-13,Phone Interview,102,Yes,Yes,141267,No,No,No,Overqualified,REC11,MGR0050,1,9762
REQ00147,CAND00147,Product,Senior Engineer,L3,Seattle,Employee Referral,2021-08-04,Applied,63,No,No,184753,No,Yes,No,Withdrew,REC05,MGR0021,6,9220
REQ00148,CAND00148,Finance,Analyst,L5,San Francisco,Employee Referral,2020-07-28,Screening,107,No,Pending,196304,Yes,Yes,No,Overqualified,REC06,MGR0022,5,6292
REQ00149,CAND00149,Marketing,Manager,L1,Seattle,Glassdoor,2023-01-01,Panel Interview,47,Yes,No,82794,Yes,No,No,Overqualified,REC10,MGR0035,5,1037
REQ00150,CAND00150,Engineering,Manager,L7,Remote,Campus Recruiting,2025-09-11,Rejected,85,No,Yes,127898,Yes,Yes,Yes,Withdrew,REC13,MGR0028,4,1163
REQ00151,CAND00151,Operations,Associate,L7,Austin,Glassdoor,2023-02-08,Hired,102,Yes,Yes,189539,Yes,Yes,Yes,None,REC12,MGR0001,2,6276
REQ00152,CAND00152,Engineering,Senior Analyst,L5,Remote,Campus Recruiting,2026-01-03,Hired,105,Yes,Yes,137738,Yes,No,No,Failed Assessment,REC10,MGR0002,5,9110
REQ00153,CAND00153,Legal,Engineer,L1,Remote,Direct Application,2024-09-26,Panel Interview,98,No,No,163232,No,No,No,None,REC07,MGR0024,2,4569
REQ00154,CAND00154,Operations,Director,L6,San Francisco,Indeed,2025-11-09,Screening,92,Yes,Yes,177209,Yes,Yes,Yes,Failed Assessment,REC05,MGR0042,6,4190
