response_id,employee_id,survey_type,survey_date,department,job_level,location,engagement_score,wellbeing_score,manager_score,dei_inclusion_score,growth_score,workload_score,eNPS,would_recommend,open_text_theme,sentiment,response_channel
SUR00078,EMP00560,DEI,2023-10-12,Design,L6,Austin,4.72,1.78,3.98,3.24,2.4,3.1,-16,Neutral,Compensation,Negative,App
SUR00079,EMP00982,Wellbeing,2025-07-22,Legal,L5,Atlanta,3.66,2.04,1.31,4.7,1.97,3.31,-69,No,Recognition,Neutral,Email
SUR00080,EMP00882,Engagement,2023-01-19,Operations,L5,San Francisco,2.91,1.92,2.28,3.43,1.47,3.87,-1,Yes,Tools & Technology,Positive,QR Code
SUR00081,EMP01142,DEI,2022-01-20,Operations,L7,Seattle,2.57,2.6,4.28,3.14,3.38,1.06,-25,Neutral,Tools & Technology,Neutral,QR Code
SUR00082,EMP00011,Manager Effectiveness,2025-11-25,HR,L5,Chicago,2.0,1.53,3.78,4.93,3.9,4.94,1,Neutral,Management,Neutral,Kiosk
SUR00083,EMP00259,DEI,2025-09-04,Data Science,L1,Boston,1.1,4.7,2.56,1.21,1.19,1.32,-72,Neutral,Career Growth,Positive,Kiosk
SUR00084,EMP00869,Engagement,2023-05-01,Sales,L7,Remote,2.84,3.25,4.15,4.87,3.99,3.51,-80,Yes,Work-Life Balance,Positive,Email
SUR00085,EMP00097,Wellbeing,2025-02-24,Customer Success,L5,Austin,3.62,1.77,4.41,3.66,2.5,3.29,-87,Neutral,Recognition,Neutral,App
SUR00086,EMP00403,Wellbeing,2026-03-25,HR,L1,New York,2.05,2.05,1.5,3.71,4.78,2.86,60,Yes,Recognition,Neutral,Kiosk
SUR00087,EMP00859,Engagement,2024-05-25,Marketing,L2,San Francisco,4.09,3.12,1.54,1.56,2.64,4.0,34,Neutral,Recognition,Neutral,Email
SUR00088,EMP00985,Exit,2021-05-10,Data Science,L6,Chicago,4.31,1.62,2.65,4.06,3.76,2.75,-39,No,Compensation,Neutral,Email
SUR00089,EMP00848,Manager Effectiveness,2023-08-06,Legal,L3,New York,4.35,1.59,4.13,3.67,3.85,3.94,68,Yes,Tools & Technology,Positive,App
SUR00090,EMP00824,Manager Effectiveness,2023-07-20,Sales,L2,Denver,4.55,1.96,3.33,3.42,3.5,2.28,-58,Yes,Tools & Technology,Positive,QR Code
SUR00091,EMP00527,Onboarding,2022-09-10,Data Science,L5,Seattle,4.04,1.99,4.69,3.52,4.07,3.92,11,Neutral,Work-Life Balance,Positive,Email
SUR00092,EMP00634,Manager Effectiveness,2026-06-12,HR,L2,New York,2.7,1.1,3.83,1.1,3.25,2.92,-15,No,Tools & Technology,Negative,Email
SUR00093,EMP00796,Wellbeing,2025-12-26,Marketing,L7,Atlanta,3.12,4.72,1.21,4.69,3.31,3.75,-96,Neutral,Culture,Neutral,App
SUR00094,EMP00959,Pulse,2021-08-27,Legal,L2,Denver,2.58,1.09,1.58,2.3,2.19,3.14,-99,Yes,Tools & Technology,Neutral,QR Code
SUR00095,EMP00960,Manager Effectiveness,2022-04-11,Design,L4,Remote,1.78,4.32,4.91,4.41,2.26,2.39,44,Neutral,Management,Neutral,QR Code
SUR00096,EMP00552,Wellbeing,2021-06-24,Sales,L1,Atlanta,3.7,4.95,4.85,2.82,1.87,3.11,-63,No,Recognition,Negative,QR Code
SUR00097,EMP00883,Engagement,2021-07-31,Marketing,L3,Dallas,2.17,4.4,1.82,1.12,1.06,1.17,1,Yes,Career Growth,Negative,App
SUR00098,EMP01184,Pulse,2024-07-10,Finance,L6,Dallas,1.56,2.87,4.85,4.35,1.69,1.44,20,Neutral,Compensation,Positive,App
SUR00099,EMP00904,Pulse,2025-01-06,Legal,L3,Seattle,3.18,1.6,1.01,1.53,1.26,2.8,-95,Neutral,Culture,Positive,QR Code
SUR00100,EMP00519,Manager Effectiveness,2024-10-11,Sales,L4,Austin,2.96,3.79,4.05,1.84,2.58,1.26,59,Neutral,Tools & Technology,Neutral,Kiosk
SUR00101,EMP00188,Wellbeing,2024-12-23,Engineering,L1,Boston,4.54,1.13,1.46,2.21,3.15,2.02,-68,Yes,Recognition,Positive,App
SUR00102,EMP00098,Engagement,2022-03-06,Legal,L1,Atlanta,1.54,1.96,1.15,3.98,3.12,1.01,-52,Neutral,Culture,Negative,App
SUR00103,EMP00563,Pulse,2023-07-25,Operations,L7,Chicago,3.3,4.92,4.07,1.57,4.83,1.12,55,Yes,Recognition,Negative,QR Code
SUR00104,EMP00453,Engagement,2023-05-15,Legal,L5,Denver,4.34,2.88,3.7,1.04,1.83,1.01,-5,No,Culture,Positive,Email
SUR00105,EMP00798,Engagement,2023-06-12,Legal,L3,Remote,2.86,1.12,3.19,2.16,3.94,3.21,-75,No,Work-Life Balance,Neutral,QR Code
SUR00106,EMP00614,Pulse,2024-04-03,Legal,L7,Austin,3.06,3.35,2.18,1.48,1.02,4.27,67,Neutral,Recognition,Negative,QR Code
SUR00107,EMP00203,Wellbeing,2025-01-12,HR,L1,Boston,4.35,3.83,2.49,3.79,3.79,1.53,41,Yes,Tools & Technology,Negative,App
SUR00108,EMP00934,Wellbeing,2023-07-01,Data Science,L3,Chicago,2.4,2.08,1.23,3.8,3.85,2.99,3,Yes,Tools & Technology,Negative,App
SUR00109,EMP00746,Engagement,2025-04-30,Sales,L1,San Francisco,4.66,4.11,4.27,2.28,3.74,4.34,18,No,Management,Neutral,Email
SUR00110,EMP00453,Engagement,2026-07-07,Product,L3,Dallas,3.35,4.88,1.08,4.63,2.43,4.61,29,Yes,Autonomy,Positive,QR Code
SUR00111,EMP00139,Manager Effectiveness,2025-12-26,Finance,L7,Austin,1.71,4.97,1.88,4.83,2.31,3.77,-25,Neutral,Tools & Technology,Negative,App
SUR00112,EMP00093,Onboarding,2025-02-17,Operations,L5,Denver,2.77,2.78,3.4,4.93,1.35,3.72,14,Neutral,Compensation,Positive,Kiosk
SUR00113,EMP00679,Exit,2023-04-24,Marketing,L4,Seattle,2.3,4.47,1.42,4.99,1.0,3.28,-9,Neutral,Autonomy,Positive,Email
SUR00114,EMP00714,Wellbeing,2026-03-17,Marketing,L2,San Francisco,4.11,1.81,3.84,3.38,2.5,1.03,31,Yes,Culture,Neutral,QR Code
SUR00115,EMP00145,Pulse,2024-10-07,Customer Success,L6,Remote,4.55,3.35,3.89,1.03,4.95,2.98,-1,Yes,Work-Life Balance,Negative,App
SUR00116,EMP01172,DEI,2025-03-27,Data Science,L4,Remote,4.54,4.38,1.51,1.42,4.63,2.31,0,Yes,Compensation,Positive,QR Code
SUR00117,EMP01108,DEI,2024-10-17,Operations,L7,Austin,3.05,3.94,4.85,3.24,3.46,2.59,66,Yes,Culture,Positive,QR Code
SUR00118,EMP00811,Wellbeing,2022-05-13,Engineering,L6,Remote,1.03,1.02,1.95,3.35,3.46,4.92,100,Neutral,Culture,Neutral,Kiosk
SUR00119,EMP00948,Wellbeing,2026-01-19,Data Science,L6,Seattle,4.48,2.24,1.44,4.85,2.81,3.33,-57,Neutral,Recognition,Positive,QR Code
SUR00120,EMP00704,Onboarding,2024-09-01,HR,L3,Atlanta,4.32,4.97,1.44,2.56,4.75,3.93,-37,No,Compensation,Negative,Kiosk
SUR00121,EMP01163,Wellbeing,2021-04-21,Product,L7,Remote,3.82,3.29,2.72,3.03,2.26,3.03,-43,Neutral,Autonomy,Neutral,QR Code
SUR00122,EMP01131,Engagement,2023-02-14,Product,L5,Seattle,4.98,1.87,2.23,1.16,4.36,3.77,-86,No,Work-Life Balance,Negative,QR Code
SUR00123,EMP00954,Exit,2021-07-12,Data Science,L6,Chicago,2.27,1.1,3.51,2.97,3.14,2.55,-60,Yes,Compensation,Positive,Kiosk
SUR00124,EMP00579,Engagement,2022-04-29,HR,L4,Remote,3.35,2.36,4.82,2.33,4.06,3.91,-43,Yes,Management,Negative,QR Code
SUR00125,EMP00646,Pulse,2021-11-21,Product,L2,Boston,3.78,3.84,4.24,2.14,2.8,2.05,76,Yes,Compensation,Positive,App
SUR00126,EMP00504,Onboarding,2023-09-15,Product,L1,Seattle,2.7,3.45,4.54,3.34,3.84,2.26,-12,Neutral,Autonomy,Positive,App
SUR00127,EMP00076,Engagement,2023-04-22,Sales,L4,Seattle,1.29,2.67,2.24,4.75,4.17,3.25,20,No,Work-Life Balance,Positive,Email
SUR00128,EMP01129,DEI,2022-05-26,Data Science,L5,San Francisco,4.83,1.59,3.71,4.02,1.06,2.67,-93,No,Recognition,Positive,App
SUR00129,EMP00346,Manager Effectiveness,2021-11-03,Customer Success,L6,Chicago,3.62,3.53,2.46,2.18,2.68,3.78,-37,Neutral,Career Growth,Neutral,Kiosk
SUR00130,EMP00758,Onboarding,2025-07-20,Operations,L5,Boston,1.2,4.88,1.85,2.33,1.03,2.99,96,Neutral,Culture,Positive,App
SUR00131,EMP00281,Exit,2023-04-20,HR,L5,Remote,1.25,3.71,2.64,1.12,1.71,3.97,-38,No,Recognition,Negative,App
SUR00132,EMP00869,DEI,2021-02-05,Marketing,L6,Austin,1.6,3.26,2.5,2.35,1.09,1.42,97,Neutral,Career Growth,Neutral,QR Code
SUR00133,EMP00049,Wellbeing,2021-05-18,Operations,L6,San Francisco,1.69,1.22,3.34,1.84,2.24,1.13,11,Neutral,Autonomy,Positive,Email
SUR00134,EMP00784,Pulse,2025-01-31,Sales,L5,Chicago,3.74,4.02,4.27,3.35,3.54,4.36,89,Neutral,Management,Negative,QR Code
SUR00135,EMP00301,Engagement,2021-01-06,Operations,L2,New York,2.92,1.64,4.68,1.17,1.22,3.24,-63,Neutral,Compensation,Negative,QR Code
SUR00136,EMP00911,Wellbeing,2022-07-27,Marketing,L4,New York,2.26,3.48,2.3,3.94,3.14,2.78,-58,Neutral,Management,Positive,QR Code
SUR00137,EMP00397,Pulse,2021-11-22,Design,L6,Dallas,4.32,3.99,1.1,1.32,4.99,2.69,47,Neutral,Career Growth,Neutral,Kiosk
SUR00138,EMP00852,Wellbeing,2023-05-09,Operations,L5,Remote,2.3,3.96,2.08,2.63,4.38,2.67,77,Yes,Recognition,Neutral,QR Code
SUR00139,EMP00319,Wellbeing,2024-07-09,Finance,L7,Boston,1.71,2.84,2.81,2.86,2.0,2.98,37,No,Career Growth,Neutral,Email
SUR00140,EMP00559,Exit,2022-10-14,Product,L4,Atlanta,4.1,1.21,2.74,1.57,3.46,3.0,16,Yes,Culture,Positive,QR Code
SUR00141,EMP01070,Engagement,2025-06-18,IT,L2,Dallas,4.19,1.59,2.6,3.88,3.83,4.02,-35,Yes,Autonomy,Positive,Email
SUR00142,EMP00700,Pulse,2025-11-08,Product,L1,Dallas,4.77,1.13,2.55,3.87,3.17,1.04,-49,Yes,Recognition,Neutral,Kiosk
SUR00143,EMP00967,Manager Effectiveness,2024-03-28,Operations,L6,San Francisco,1.58,3.33,1.76,1.49,1.7,4.05,-33,Yes,Tools & Technology,Positive,Kiosk
SUR00144,EMP00554,Engagement,2025-09-14,Legal,L7,New York,1.34,3.42,4.91,3.23,2.05,1.08,12,Yes,Work-Life Balance,Neutral,Email
SUR00145,EMP01054,Manager Effectiveness,2025-01-22,Data Science,L4,Atlanta,4.49,1.41,1.68,2.92,3.6,3.9,-86,No,Culture,Positive,Kiosk
SUR00146,EMP00464,Pulse,2023-05-20,Customer Success,L5,Boston,3.93,3.39,2.81,1.61,4.65,2.65,71,Yes,Tools & Technology,Positive,Email
SUR00147,EMP00072,Manager Effectiveness,2024-03-14,Engineering,L1,Atlanta,1.2,1.42,3.22,2.45,3.91,1.05,-88,Yes,Tools & Technology,Negative,Kiosk
SUR00148,EMP01158,Exit,2021-12-01,Data Science,L7,Chicago,3.81,3.47,1.13,1.05,3.7,3.48,20,No,Autonomy,Neutral,QR Code
SUR00149,EMP00684,Wellbeing,2022-04-17,IT,L4,Boston,3.38,3.99,2.81,2.24,4.33,1.67,-62,No,Culture,Negative,App
SUR00150,EMP00116,Onboarding,2021-06-20,Legal,L3,San Francisco,2.4,3.88,2.76,1.16,4.17,3.72,-7,Yes,Compensation,Positive,QR Code
SUR00151,EMP00471,Manager Effectiveness,2023-06-29,Legal,L7,Denver,3.97,4.09,3.75,2.79,3.13,3.97,-4,Yes,Tools & Technology,Neutral,QR Code
SUR00152,EMP00182,Manager Effectiveness,2025-06-18,Product,L3,Remote,3.63,4.2,3.08,3.46,2.56,3.04,-30,No,Career Growth,Negative,Email
SUR00153,EMP00434,Manager Effectiveness,2025-06-21,Operations,L5,Denver,1.68,3.94,3.7,2.78,2.06,1.11,58,Neutral,Recognition,Positive,App
SUR00154,EMP00530,Onboarding,2025-04-16,HR,L3,Austin,4.9,3.95,1.44,4.61,1.36,4.85,79,Neutral,Tools & Technology,Negative,Email
SUR00155,EMP01095,Onboarding,2023-04-21,Data Science,L4,Dallas,3.44,3.67,3.91,3.39,4.27,1.31,-9,Neutral,Recognition,Positive,App
SUR00156,EMP00108,Manager Effectiveness,2024-09-11,Product,L6,Chicago,3.6,3.77,4.41,1.03,4.04,4.54,-63,Neutral,Recognition,Neutral,App
SUR00157,EMP00709,DEI,2026-06-06,Product,L6,Austin,1.03,4.41,2.19,4.3,4.29,3.07,23,Neutral,Work-Life Balance,Negative,App
SUR00158,EMP00132,Manager Effectiveness,2025-04-03,Finance,L4,Seattle,3.44,3.16,2.79,2.55,2.18,3.34,16,Yes,Autonomy,Negative,Kiosk
SUR00159,EMP00972,Manager Effectiveness,2025-12-07,Marketing,L1,Seattle,2.72,2.83,3.0,3.14,4.23,2.38,-64,Neutral,Management,Neutral,QR Code
SUR00160,EMP00877,DEI,2026-02-27,Customer Success,L5,Remote,2.82,4.97,3.1,4.76,2.32,2.12,31,No,Autonomy,Neutral,Email
SUR00161,EMP00483,Onboarding,2021-01-09,Sales,L5,Austin,3.89,3.32,3.77,1.85,4.98,4.67,76,No,Recognition,Positive,QR Code
SUR00162,EMP00682,Wellbeing,2026-07-23,Sales,L6,Remote,1.84,2.51,2.0,3.41,1.44,4.36,35,No,Culture,Neutral,App
SUR00163,EMP00865,Wellbeing,2025-06-03,Data Science,L3,Denver,1.48,4.55,4.92,2.64,4.21,1.54,-67,Neutral,Compensation,Positive,QR Code
SUR00164,EMP00058,Wellbeing,2023-05-08,Operations,L5,Seattle,3.07,4.47,4.87,1.41,1.14,3.83,15,Neutral,Culture,Positive,App
SUR00165,EMP00109,Pulse,2025-09-11,Product,L6,Austin,4.23,4.65,3.86,4.63,1.27,2.66,66,Yes,Culture,Neutral,QR Code
SUR00166,EMP00722,Exit,2022-01-21,Sales,L7,San Francisco,1.52,1.31,3.17,1.06,3.18,1.74,24,Neutral,Career Growth,Neutral,QR Code
SUR00167,EMP00159,Onboarding,2024-11-28,Finance,L3,Remote,4.45,2.33,2.61,1.93,2.73,3.83,-25,Yes,Career Growth,Positive,App
SUR00168,EMP00694,Pulse,2021-06-05,Marketing,L6,Dallas,3.82,2.52,3.34,4.65,2.26,4.81,-31,No,Culture,Positive,App
SUR00169,EMP01091,Onboarding,2023-07-09,Engineering,L3,Austin,1.18,1.32,1.88,3.7,4.26,3.16,17,Yes,Management,Positive,App
SUR00170,EMP00035,Pulse,2025-11-12,Legal,L4,Dallas,2.75,2.17,4.15,4.72,4.0,3.18,-66,No,Tools & Technology,Positive,QR Code
