interaction_id,employee_id,department,customer_id,interaction_date,channel,product_service,csat_score,nps_score,resolution_time_hrs,first_contact_resolution,escalated,sentiment,feedback_category,region,repeat_contact
INT00073,EMP00766,Operations,CUST11475,2022-12-03,Email,Product B,3.8,8,1.6,No,No,Positive,Knowledge,EMEA,Yes
INT00074,EMP00559,Sales,CUST74151,2023-10-09,Self-Service Portal,Starter Plan,3.9,1,7.5,Yes,No,Negative,Knowledge,LATAM,Yes
INT00075,EMP01032,Support,CUST19241,2022-09-01,Chat,Starter Plan,4.6,7,31.8,Yes,No,Positive,Speed,APAC,No
INT00076,EMP00407,Customer Success,CUST87846,2026-06-15,In-Person,Product B,3.6,7,36.9,No,Yes,Positive,Follow-Up,North America,No
INT00077,EMP00338,Sales,CUST99953,2026-01-04,Chat,Starter Plan,3.7,0,60.3,No,Yes,Negative,Follow-Up,EMEA,No
INT00078,EMP01138,Operations,CUST46974,2025-07-22,Email,Product C,3.6,0,61.3,Yes,No,Positive,Speed,APAC,No
INT00079,EMP00743,Support,CUST90837,2023-01-02,Self-Service Portal,Service Package 1,2.6,7,48.3,No,No,Neutral,Accuracy,LATAM,No
INT00080,EMP01148,Customer Success,CUST50878,2023-12-03,Email,Enterprise Plan,4.3,10,22.2,Yes,No,Negative,Accuracy,LATAM,Yes
INT00081,EMP00386,Sales,CUST61807,2025-09-11,Chat,Product A,3.1,9,45.8,Yes,No,Negative,Follow-Up,North America,Yes
INT00082,EMP00049,Support,CUST28412,2026-06-19,In-Person,Product B,2.4,9,7.9,Yes,Yes,Neutral,Knowledge,LATAM,No
INT00083,EMP00566,Sales,CUST83872,2024-06-06,Phone,Product B,1.1,5,10.8,No,Yes,Positive,Speed,North America,No
INT00084,EMP00324,Support,CUST65928,2026-03-22,Chat,Product B,4.6,1,45.3,Yes,No,Neutral,Knowledge,EMEA,No
INT00085,EMP00595,Sales,CUST70438,2024-04-29,Email,Enterprise Plan,4.8,0,30.6,Yes,No,Neutral,Knowledge,LATAM,No
INT00086,EMP00111,Sales,CUST67721,2022-04-09,In-Person,Product A,1.3,0,40.8,Yes,No,Neutral,Courtesy,EMEA,No
INT00087,EMP01083,Sales,CUST54914,2026-05-07,In-Person,Enterprise Plan,2.0,3,33.1,Yes,No,Negative,Speed,APAC,No
INT00088,EMP00827,Customer Success,CUST18202,2026-01-10,In-Person,Enterprise Plan,1.3,8,35.2,Yes,Yes,Neutral,Follow-Up,North America,No
INT00089,EMP00880,Sales,CUST40913,2025-05-17,Email,Service Package 1,3.1,0,36.3,No,Yes,Negative,Courtesy,LATAM,Yes
INT00090,EMP00706,Operations,CUST33176,2026-04-09,Phone,Product A,4.8,0,18.7,No,Yes,Negative,Courtesy,North America,No
INT00091,EMP00673,Operations,CUST77621,2023-11-26,Self-Service Portal,Product A,4.2,3,64.9,Yes,No,Positive,Courtesy,LATAM,Yes
INT00092,EMP00169,Customer Success,CUST28576,2026-06-07,In-Person,Starter Plan,2.2,3,34.0,Yes,No,Negative,Knowledge,EMEA,Yes
INT00093,EMP00227,Support,CUST71827,2022-01-09,Phone,Product B,2.6,0,53.9,No,No,Negative,Accuracy,LATAM,No
INT00094,EMP00333,Sales,CUST60819,2022-10-02,Phone,Product A,5.0,3,20.9,Yes,No,Negative,Follow-Up,LATAM,No
INT00095,EMP00470,Customer Success,CUST29298,2025-12-14,Self-Service Portal,Enterprise Plan,2.6,2,71.6,Yes,Yes,Negative,Speed,EMEA,Yes
INT00096,EMP00801,Support,CUST35178,2024-01-17,Self-Service Portal,Product A,1.8,5,66.7,Yes,No,Positive,Knowledge,APAC,No
INT00097,EMP01076,Sales,CUST48930,2023-11-10,Self-Service Portal,Product A,3.4,7,38.5,Yes,No,Negative,Speed,LATAM,Yes
INT00098,EMP00405,Sales,CUST82565,2024-11-28,Email,Starter Plan,4.0,9,13.3,No,No,Neutral,Speed,EMEA,No
INT00099,EMP00968,Customer Success,CUST58818,2023-10-16,Chat,Product C,1.1,5,49.7,No,No,Neutral,Accuracy,EMEA,No
INT00100,EMP00231,Sales,CUST65183,2025-06-22,Phone,Service Package 1,1.1,2,52.2,Yes,Yes,Neutral,Speed,North America,No
INT00101,EMP00963,Customer Success,CUST71862,2025-02-02,In-Person,Enterprise Plan,3.3,7,54.1,Yes,No,Positive,Speed,APAC,No
INT00102,EMP00623,Support,CUST75287,2025-05-27,Chat,Product B,3.0,5,16.7,Yes,No,Positive,Accuracy,LATAM,No
INT00103,EMP01179,Support,CUST36361,2024-07-12,Email,Product C,2.2,9,68.4,Yes,No,Positive,Knowledge,APAC,Yes
INT00104,EMP00595,Sales,CUST64570,2025-05-08,Email,Product A,1.2,1,55.9,Yes,No,Positive,Courtesy,North America,Yes
INT00105,EMP00993,Customer Success,CUST76585,2025-03-25,Chat,Product B,3.0,9,34.0,No,No,Positive,Speed,EMEA,No
INT00106,EMP00552,Operations,CUST75504,2025-02-14,Email,Service Package 1,4.3,7,27.4,Yes,No,Neutral,Speed,North America,No
INT00107,EMP01171,Sales,CUST24638,2025-01-22,Phone,Product C,3.7,7,43.9,Yes,No,Positive,Courtesy,North America,No
INT00108,EMP01199,Support,CUST89306,2022-01-27,In-Person,Product A,2.0,5,30.3,Yes,No,Positive,Knowledge,North America,Yes
INT00109,EMP00742,Customer Success,CUST17628,2026-04-28,Self-Service Portal,Product A,2.9,1,70.1,Yes,No,Neutral,Accuracy,North America,No
INT00110,EMP00990,Support,CUST10797,2025-02-16,Self-Service Portal,Enterprise Plan,3.1,7,41.6,Yes,No,Positive,Speed,APAC,No
INT00111,EMP00595,Support,CUST18399,2024-05-12,Chat,Product B,4.0,10,42.5,Yes,No,Neutral,Knowledge,North America,Yes
INT00112,EMP00933,Support,CUST23768,2026-07-30,Self-Service Portal,Enterprise Plan,2.7,2,55.4,No,No,Neutral,Speed,LATAM,Yes
INT00113,EMP00397,Customer Success,CUST67559,2023-11-30,Chat,Service Package 1,4.3,6,59.5,Yes,No,Neutral,Follow-Up,APAC,Yes
INT00114,EMP00403,Customer Success,CUST14851,2026-02-08,Self-Service Portal,Product B,4.7,2,1.7,Yes,No,Positive,Speed,LATAM,No
INT00115,EMP00877,Operations,CUST32542,2025-06-15,Self-Service Portal,Product B,2.7,1,42.7,Yes,Yes,Negative,Speed,EMEA,No
INT00116,EMP00364,Operations,CUST36377,2026-01-18,Self-Service Portal,Starter Plan,1.0,6,22.5,Yes,Yes,Positive,Speed,APAC,Yes
INT00117,EMP00331,Sales,CUST66469,2023-10-08,Self-Service Portal,Product A,3.8,7,33.4,Yes,No,Neutral,Follow-Up,EMEA,No
INT00118,EMP00480,Operations,CUST79627,2022-08-08,Email,Product B,1.1,3,10.8,Yes,No,Neutral,Speed,North America,Yes
INT00119,EMP00182,Customer Success,CUST34266,2023-05-16,Phone,Service Package 1,1.8,8,67.6,Yes,Yes,Negative,Accuracy,EMEA,Yes
INT00120,EMP00279,Support,CUST91991,2023-02-12,In-Person,Product C,4.8,1,4.4,Yes,No,Negative,Courtesy,APAC,Yes
INT00121,EMP00097,Support,CUST16714,2022-03-12,Self-Service Portal,Enterprise Plan,1.3,9,45.3,No,Yes,Neutral,Follow-Up,North America,No
INT00122,EMP00761,Customer Success,CUST20919,2025-11-21,Phone,Product C,1.1,4,7.8,Yes,No,Positive,Speed,North America,Yes
INT00123,EMP01032,Operations,CUST53450,2022-05-03,Self-Service Portal,Product B,2.6,0,14.1,Yes,No,Positive,Follow-Up,North America,No
INT00124,EMP00194,Support,CUST89318,2023-05-08,In-Person,Product A,3.4,0,19.9,Yes,No,Positive,Courtesy,LATAM,No
INT00125,EMP01102,Customer Success,CUST74856,2023-10-14,In-Person,Product A,1.2,5,40.0,Yes,No,Neutral,Follow-Up,North America,Yes
INT00126,EMP00958,Support,CUST39863,2024-05-04,Email,Product C,4.7,7,44.3,Yes,No,Positive,Accuracy,EMEA,No
INT00127,EMP00631,Operations,CUST54249,2022-01-28,Self-Service Portal,Product A,4.6,8,14.0,No,No,Negative,Knowledge,APAC,Yes
INT00128,EMP00756,Support,CUST76321,2025-02-05,Phone,Product A,3.2,5,32.5,Yes,No,Positive,Knowledge,LATAM,No
INT00129,EMP00968,Operations,CUST66807,2022-09-27,In-Person,Product A,1.2,6,7.5,Yes,No,Positive,Speed,EMEA,Yes
INT00130,EMP00969,Sales,CUST55732,2023-04-25,Self-Service Portal,Service Package 1,3.1,8,4.8,No,Yes,Positive,Knowledge,LATAM,Yes
INT00131,EMP00879,Customer Success,CUST18139,2024-12-02,Chat,Product B,2.0,7,23.6,Yes,No,Neutral,Follow-Up,North America,No
INT00132,EMP00613,Support,CUST41061,2026-04-12,Self-Service Portal,Product C,2.1,9,12.2,No,No,Neutral,Accuracy,APAC,Yes
INT00133,EMP01199,Customer Success,CUST39916,2024-12-30,Email,Product B,2.1,9,46.5,Yes,No,Neutral,Accuracy,EMEA,No
INT00134,EMP00945,Operations,CUST98868,2024-07-18,Phone,Product B,2.5,9,43.6,No,Yes,Neutral,Speed,North America,Yes
INT00135,EMP00420,Customer Success,CUST25277,2023-05-12,In-Person,Enterprise Plan,2.8,8,34.0,No,No,Negative,Accuracy,North America,No
INT00136,EMP00118,Operations,CUST71860,2022-10-16,Chat,Enterprise Plan,2.2,0,43.7,Yes,No,Positive,Courtesy,North America,No
INT00137,EMP00557,Operations,CUST60355,2025-09-27,In-Person,Product A,2.3,0,30.0,Yes,No,Neutral,Courtesy,EMEA,No
INT00138,EMP01067,Operations,CUST35901,2024-07-31,Self-Service Portal,Product C,1.1,10,0.9,Yes,Yes,Positive,Courtesy,North America,No
INT00139,EMP00214,Operations,CUST68692,2022-10-07,Email,Service Package 1,3.3,7,54.8,Yes,Yes,Neutral,Accuracy,EMEA,Yes
INT00140,EMP00238,Sales,CUST53215,2022-09-12,Self-Service Portal,Service Package 1,2.1,0,18.7,Yes,No,Positive,Accuracy,EMEA,Yes
INT00141,EMP00509,Operations,CUST48502,2025-12-23,Chat,Service Package 1,1.5,5,65.7,Yes,Yes,Positive,Knowledge,North America,No
INT00142,EMP00064,Customer Success,CUST73466,2023-06-10,Self-Service Portal,Enterprise Plan,1.9,8,10.8,Yes,Yes,Positive,Accuracy,North America,Yes
INT00143,EMP00221,Support,CUST28780,2024-04-08,Email,Product A,2.9,10,56.0,No,No,Negative,Knowledge,APAC,No
INT00144,EMP00948,Customer Success,CUST76264,2024-06-06,Self-Service Portal,Service Package 1,1.6,0,58.1,No,No,Positive,Knowledge,APAC,No
INT00145,EMP00919,Support,CUST87259,2025-11-27,Email,Starter Plan,1.8,10,25.0,Yes,Yes,Negative,Follow-Up,North America,No
INT00146,EMP01050,Sales,CUST20266,2023-04-13,Chat,Service Package 1,1.3,9,4.3,Yes,No,Neutral,Speed,LATAM,No
INT00147,EMP00739,Customer Success,CUST78920,2026-05-22,Self-Service Portal,Product B,4.2,6,70.4,No,Yes,Negative,Knowledge,North America,Yes
INT00148,EMP00728,Support,CUST17251,2024-07-12,Chat,Enterprise Plan,2.1,3,43.9,No,No,Neutral,Courtesy,North America,No
INT00149,EMP00404,Support,CUST96698,2023-07-14,Chat,Product B,2.1,2,63.8,Yes,No,Negative,Follow-Up,North America,Yes
INT00150,EMP01047,Operations,CUST69315,2022-08-10,In-Person,Product C,4.3,6,52.4,Yes,No,Neutral,Follow-Up,North America,Yes
INT00151,EMP01040,Customer Success,CUST80643,2024-05-18,Self-Service Portal,Product B,1.6,0,33.7,Yes,No,Neutral,Courtesy,EMEA,No
INT00152,EMP00007,Customer Success,CUST26059,2022-09-28,In-Person,Enterprise Plan,3.3,8,43.9,Yes,No,Neutral,Follow-Up,LATAM,No
INT00153,EMP00185,Sales,CUST50670,2026-07-29,Self-Service Portal,Service Package 1,2.9,10,27.5,Yes,No,Positive,Speed,LATAM,Yes
INT00154,EMP00535,Support,CUST35862,2022-06-12,Phone,Product C,4.0,1,39.3,Yes,No,Neutral,Accuracy,EMEA,No
INT00155,EMP00240,Customer Success,CUST62750,2024-12-21,Chat,Service Package 1,2.7,6,25.8,No,No,Negative,Courtesy,North America,No
INT00156,EMP00377,Customer Success,CUST94480,2022-05-08,Email,Service Package 1,2.1,7,14.0,Yes,No,Neutral,Knowledge,North America,Yes
INT00157,EMP00162,Sales,CUST49242,2025-05-30,Self-Service Portal,Starter Plan,4.4,6,46.1,Yes,Yes,Neutral,Courtesy,LATAM,No
INT00158,EMP00279,Customer Success,CUST98925,2023-05-23,Phone,Starter Plan,4.9,1,17.9,No,No,Negative,Speed,EMEA,No
INT00159,EMP00328,Operations,CUST66756,2024-09-21,Email,Product B,4.1,7,58.3,Yes,Yes,Positive,Courtesy,North America,No
INT00160,EMP00466,Sales,CUST63319,2024-04-25,Self-Service Portal,Enterprise Plan,2.1,9,20.8,Yes,No,Negative,Accuracy,LATAM,No
INT00161,EMP00986,Support,CUST48846,2024-10-01,Email,Product B,4.8,5,32.6,Yes,No,Neutral,Follow-Up,LATAM,No
INT00162,EMP00519,Operations,CUST30620,2024-07-24,In-Person,Product A,2.0,2,64.8,Yes,No,Neutral,Speed,LATAM,Yes
INT00163,EMP00789,Support,CUST45610,2023-09-27,Email,Starter Plan,4.8,3,42.0,Yes,No,Neutral,Knowledge,North America,Yes
INT00164,EMP00636,Sales,CUST86667,2025-10-27,Chat,Product C,4.8,4,71.4,No,Yes,Positive,Speed,North America,No
INT00165,EMP00476,Customer Success,CUST60183,2025-02-11,Phone,Enterprise Plan,1.2,8,13.1,Yes,No,Negative,Follow-Up,LATAM,No
INT00166,EMP00897,Operations,CUST73160,2023-10-18,Email,Product B,4.8,9,40.8,Yes,Yes,Negative,Knowledge,APAC,No
INT00167,EMP01175,Customer Success,CUST57520,2024-10-25,Self-Service Portal,Product C,4.8,9,54.9,Yes,No,Neutral,Knowledge,APAC,No
INT00168,EMP00237,Customer Success,CUST79335,2024-12-04,Phone,Product B,3.9,6,32.6,Yes,No,Positive,Knowledge,EMEA,No
INT00169,EMP00544,Operations,CUST41265,2024-11-12,Phone,Product A,4.0,6,17.7,Yes,No,Positive,Speed,APAC,Yes
INT00170,EMP01149,Sales,CUST27940,2024-03-16,Phone,Service Package 1,2.0,0,24.8,No,No,Negative,Follow-Up,APAC,No
INT00171,EMP00042,Customer Success,CUST72395,2023-12-13,Email,Product C,1.2,0,5.3,Yes,No,Positive,Courtesy,EMEA,No
INT00172,EMP00922,Customer Success,CUST47816,2022-07-11,Email,Service Package 1,4.8,0,5.5,Yes,No,Positive,Follow-Up,LATAM,No
INT00173,EMP00277,Sales,CUST86838,2022-12-11,Self-Service Portal,Product A,4.6,3,36.2,Yes,Yes,Negative,Follow-Up,LATAM,No
INT00174,EMP00093,Customer Success,CUST74977,2023-06-01,Email,Product B,2.5,8,65.0,Yes,No,Positive,Accuracy,LATAM,No
INT00175,EMP00085,Sales,CUST51872,2024-02-12,In-Person,Product B,3.4,4,65.2,Yes,No,Positive,Accuracy,EMEA,No
INT00176,EMP00587,Operations,CUST29560,2024-10-24,Email,Starter Plan,2.0,4,53.8,Yes,No,Positive,Accuracy,EMEA,Yes
INT00177,EMP00308,Operations,CUST53295,2024-02-08,Phone,Service Package 1,3.6,5,38.0,Yes,No,Negative,Speed,LATAM,Yes
INT00178,EMP00052,Customer Success,CUST77573,2026-03-20,Phone,Starter Plan,4.0,2,20.9,Yes,No,Positive,Accuracy,LATAM,Yes
INT00179,EMP00730,Operations,CUST58562,2022-11-26,Email,Enterprise Plan,3.8,3,10.8,Yes,No,Neutral,Follow-Up,North America,Yes
INT00180,EMP00361,Sales,CUST63412,2024-06-25,In-Person,Enterprise Plan,2.5,1,19.9,Yes,No,Neutral,Follow-Up,APAC,No
INT00181,EMP00560,Support,CUST28466,2026-05-27,Self-Service Portal,Starter Plan,2.9,3,35.3,No,No,Positive,Accuracy,EMEA,No
INT00182,EMP01092,Sales,CUST36582,2024-09-20,Chat,Product C,5.0,7,46.0,Yes,No,Negative,Courtesy,North America,Yes
INT00183,EMP00402,Customer Success,CUST24038,2024-03-08,Chat,Product B,1.5,6,18.2,No,No,Neutral,Courtesy,LATAM,Yes
INT00184,EMP00726,Operations,CUST24034,2024-09-07,Phone,Product C,3.5,1,47.0,Yes,No,Positive,Accuracy,APAC,No
INT00185,EMP00342,Support,CUST54140,2022-02-05,Phone,Product B,2.3,8,22.0,Yes,No,Negative,Courtesy,North America,Yes
INT00186,EMP00478,Operations,CUST35239,2025-09-17,Email,Product A,4.7,10,47.2,Yes,Yes,Positive,Knowledge,EMEA,No
INT00187,EMP00359,Sales,CUST92671,2024-05-30,Phone,Service Package 1,3.2,10,70.5,No,No,Positive,Speed,LATAM,Yes
INT00188,EMP00847,Support,CUST81294,2025-01-10,In-Person,Product B,4.7,9,36.7,No,No,Neutral,Follow-Up,North America,No
INT00189,EMP00347,Support,CUST85255,2026-05-20,Phone,Product A,4.9,2,44.6,Yes,No,Negative,Accuracy,APAC,Yes
INT00190,EMP01165,Sales,CUST29187,2024-06-26,Chat,Product B,1.5,6,43.7,No,No,Negative,Accuracy,North America,No
INT00191,EMP00168,Sales,CUST11713,2024-03-22,Chat,Product B,1.8,3,43.3,No,Yes,Positive,Follow-Up,LATAM,No
