Skill_ID,Skill_Name,Skill_Category,Skill_Subcategory,Proficiency_Level_Required,Proficiency_Level_Average_Workforce,Demand_Trend,Criticality_Score,Supply_Gap_Score,Primary_Job_Families,Preferred_Learning_Method,Avg_Time_To_Proficiency_Months,Certification_Available,Certification_Name,Adjacent_Skills,Taxonomy_Version,Last_Updated,Owned_By_Function,Active
SKL-1032,Predictive Analytics,Analytical,Specialized,Developing,Expert,Increasing,8.0,-3.36,Data Science; Engineering; Marketing,Certification,23,No,None,TensorFlow; Cloud Architecture; Scala,v2.4,2026-01-27,HRBP,Yes
SKL-1033,Experimentation Design,Analytical,Core,Proficient,Expert,Emerging,6.95,-4.31,Engineering; Product; Sales,On-the-Job,15,No,Databricks Certified,Power BI; Forecasting; Kubernetes,v2.4,2026-05-14,HRBP,No
SKL-1034,Financial Modeling,Analytical,Foundational,Advanced,Expert,Decreasing,3.9,-2.55,Marketing,Mentoring,9,No,None,Snowflake; SQL; Quantitative Research,v2.4,2026-03-25,People Analytics,No
SKL-1035,Strategic Planning,Leadership,Emerging,Proficient,Proficient,Decreasing,3.52,0.96,Customer Experience; Engineering; Finance,On-the-Job,9,No,Databricks Certified,Executive Presence; Change Management; Decision Making,v2.4,2026-04-25,L&D,Yes
SKL-1036,Executive Presence,Leadership,Specialized,Developing,Advanced,Stable,3.76,0.82,Customer Experience; Legal & Compliance; Operations; Finance,Stretch Assignment,19,No,CFA,Business Intelligence; Azure; GCP,v2.4,2026-03-06,People Analytics,Yes
SKL-1037,Change Management,Leadership,Emerging,Proficient,Foundational,Stable,2.72,2.39,Legal & Compliance; Customer Experience; Marketing,On-the-Job,8,No,PHR,Airflow; Kubernetes; GCP,v2.4,2026-01-04,People Analytics,Yes
SKL-1038,Organizational Design,Leadership,Core,Foundational,Expert,Decreasing,7.28,-3.74,Data Science; Engineering; Marketing; Finance,Mentoring,16,No,PMP,Data Engineering; R; Root Cause Analysis,v2.4,2026-01-30,L&D,No
SKL-1039,Stakeholder Management,Leadership,Foundational,Foundational,Expert,Increasing,2.37,3.11,Data Science; Finance; Legal & Compliance,Certification,15,Yes,Azure Data Engineer,NLP; Data Visualization; GCP,v2.4,2026-05-31,Talent Management,Yes
SKL-1040,Decision Making,Leadership,Core,Expert,Foundational,Stable,6.63,-2.35,People & HR,Formal Training,7,Yes,PMP,Python; A/B Testing; Data Visualization,v2.4,2026-06-26,Talent Management,Yes
SKL-1041,Coaching & Mentoring,Leadership,Core,Developing,Proficient,Decreasing,7.33,-0.46,Marketing; Finance,Mentoring,5,Yes,PMP,Talent Development; Communication; Empathy,v2.4,2026-01-16,People Analytics,Yes
SKL-1042,Board Communication,Leadership,Specialized,Advanced,Foundational,Emerging,7.2,2.0,Customer Experience; Legal & Compliance; Sales,Mentoring,4,Yes,None,Databricks; Organizational Design; R,v2.4,2026-01-07,L&D,Yes
SKL-1043,P&L Ownership,Leadership,Core,Proficient,Expert,Increasing,7.87,-3.25,Marketing; People & HR; Product; Operations,External Course,17,Yes,Databricks Certified,dbt; A/B Testing; Snowflake,v2.4,2026-03-24,L&D,Yes
SKL-1044,Talent Development,Leadership,Specialized,Advanced,Advanced,Decreasing,6.96,-1.0,Sales,On-the-Job,12,No,CFA,Cybersecurity; Statistical Modeling; Predictive Analytics,v2.4,2026-01-01,Talent Management,No
SKL-1045,Talent Acquisition,Functional,Core,Developing,Expert,Decreasing,6.6,-0.02,Engineering; Finance; Marketing; Sales,Formal Training,11,No,Databricks Certified,HRBP; People Analytics; Learning & Development,v2.4,2026-06-05,People Analytics,Yes
SKL-1046,Compensation & Benefits,Functional,Specialized,Expert,Foundational,Emerging,1.84,4.92,Sales,On-the-Job,22,Yes,Databricks Certified,Talent Acquisition; AWS; Predictive Analytics,v2.4,2026-06-30,HRBP,No
SKL-1047,People Analytics,Functional,Foundational,Advanced,Developing,Emerging,5.96,-1.16,Data Science; Marketing,External Course,15,No,Azure Data Engineer,Azure; Python; AWS,v2.4,2026-03-18,Talent Management,Yes
SKL-1048,Learning & Development,Functional,Foundational,Expert,Advanced,Decreasing,3.99,2.63,Sales; Operations; Finance; Customer Experience,Formal Training,20,No,PHR,A/B Testing; Machine Learning; Databricks,v2.4,2026-05-02,Talent Management,No
SKL-1049,HRBP,Functional,Emerging,Advanced,Foundational,Stable,5.52,0.9,Sales,On-the-Job,18,No,AWS Certified,Compensation & Benefits; Power BI; A/B Testing,v2.4,2026-06-17,People Analytics,Yes
SKL-1050,Supply Chain,Functional,Foundational,Proficient,Proficient,Emerging,6.85,3.52,Operations; Sales; Engineering; Marketing,On-the-Job,9,No,PHR,People Analytics; API Development; Forecasting,v2.4,2026-01-26,L&D,No
SKL-1051,Marketing Analytics,Functional,Emerging,Proficient,Foundational,Increasing,3.92,-4.44,Operations; Product; People & HR,Formal Training,18,No,PMP,Spark; Kubernetes; API Development,v2.4,2026-06-06,Talent Management,Yes
SKL-1052,Customer Success,Functional,Foundational,Expert,Developing,Stable,5.15,-2.46,Engineering; Sales; Marketing,Stretch Assignment,19,Yes,Google Cloud Prof.,Data Visualization; dbt; Change Management,v2.4,2026-03-18,Talent Management,Yes
SKL-1053,Sales Operations,Functional,Foundational,Proficient,Developing,Emerging,8.68,-3.93,Legal & Compliance; Operations; Marketing; Customer Experience,Self-Study,2,No,CPA,Python; Executive Presence; P&L Ownership,v2.4,2026-01-13,Talent Management,Yes
SKL-1054,Finance Business Partnering,Functional,Emerging,Expert,Proficient,Stable,6.73,1.21,Data Science; Engineering,Self-Study,16,Yes,CFA,Compensation & Benefits; Tableau; API Development,v2.4,2026-03-17,HRBP,No
SKL-1055,Communication,Interpersonal,Emerging,Developing,Developing,Decreasing,5.78,4.13,Marketing; Sales,External Course,11,No,Google Cloud Prof.,Business Intelligence; Cloud Architecture; Power BI,v2.4,2026-02-27,Talent Management,Yes
SKL-1056,Collaboration,Interpersonal,Core,Advanced,Foundational,Decreasing,5.83,-0.45,Legal & Compliance; Product; Operations,On-the-Job,23,Yes,Databricks Certified,SQL; Stakeholder Management; Strategic Planning,v2.4,2026-03-25,People Analytics,Yes
SKL-1057,Conflict Resolution,Interpersonal,Foundational,Proficient,Advanced,Increasing,2.26,4.46,Sales; Data Science; Customer Experience,Formal Training,19,Yes,None,Business Intelligence; Airflow; Board Communication,v2.4,2026-06-28,Talent Management,Yes
SKL-1058,Negotiation,Interpersonal,Foundational,Foundational,Advanced,Emerging,9.45,-2.2,Finance; Sales; Customer Experience,Formal Training,13,Yes,CFA,Financial Modeling; Conflict Resolution; Coaching & Mentoring,v2.4,2026-04-02,L&D,No
SKL-1059,Empathy,Interpersonal,Specialized,Developing,Foundational,Emerging,1.83,-2.88,Engineering,External Course,12,Yes,PMP,Supply Chain; Executive Presence; React,v2.4,2026-01-18,People Analytics,Yes
SKL-1060,Active Listening,Interpersonal,Emerging,Proficient,Developing,Increasing,3.5,4.84,Customer Experience; Marketing,External Course,7,Yes,AWS Certified,Tableau; Python; dbt,v2.4,2026-03-02,HRBP,Yes
SKL-1061,Presentation Skills,Interpersonal,Emerging,Proficient,Foundational,Stable,7.68,0.26,Sales,Mentoring,13,Yes,Databricks Certified,Predictive Analytics; Java; Active Listening,v2.4,2026-06-07,L&D,Yes
SKL-1062,Written Communication,Interpersonal,Foundational,Foundational,Foundational,Emerging,8.63,-0.74,Sales,Stretch Assignment,16,Yes,Google Cloud Prof.,Databricks; Organizational Design; Power BI,v2.4,2026-01-17,People Analytics,Yes
SKL-1063,Facilitation,Interpersonal,Specialized,Advanced,Expert,Decreasing,5.08,1.05,Data Science,External Course,22,Yes,None,Data Visualization; Collaboration; Java,v2.4,2026-04-16,HRBP,No
SKL-1064,Influence Without Authority,Interpersonal,Foundational,Advanced,Foundational,Decreasing,4.84,1.65,People & HR; Sales; Data Science,On-the-Job,4,Yes,None,TensorFlow; People Analytics; R,v2.4,2026-05-23,L&D,Yes
SKL-1065,Retail Banking,Domain,Core,Advanced,Proficient,Emerging,8.81,2.21,Legal & Compliance; Marketing; Operations,On-the-Job,20,Yes,PMP,Presentation Skills; Data Visualization; React,v2.4,2026-03-31,HRBP,Yes
SKL-1066,Consumer Packaged Goods,Domain,Specialized,Expert,Developing,Emerging,8.61,4.75,Legal & Compliance,Stretch Assignment,24,No,AWS Certified,Airflow; Financial Modeling; Stakeholder Management,v2.4,2026-03-28,HRBP,Yes
SKL-1067,Healthcare Analytics,Domain,Emerging,Developing,Expert,Emerging,1.63,2.41,Data Science,Stretch Assignment,18,Yes,None,Sales Operations; Negotiation; P&L Ownership,v2.4,2026-02-10,HRBP,Yes
SKL-1068,FinTech,Domain,Specialized,Expert,Expert,Increasing,8.95,-3.44,Data Science,Self-Study,16,No,Databricks Certified,Collaboration; Sales Operations; Financial Modeling,v2.4,2026-02-25,L&D,Yes
SKL-1069,E-Commerce,Domain,Foundational,Foundational,Proficient,Emerging,5.74,-1.92,Product; Engineering,On-the-Job,8,No,PHR,Azure; Predictive Analytics; Change Management,v2.4,2026-03-25,L&D,Yes
SKL-1070,Manufacturing Ops,Domain,Foundational,Advanced,Developing,Stable,4.42,2.04,Data Science; Product; Engineering,Mentoring,2,No,Google Cloud Prof.,Decision Making; Finance Business Partnering; Marketing Analytics,v2.4,2026-06-13,Talent Management,Yes
SKL-1071,SaaS GTM,Domain,Core,Advanced,Foundational,Decreasing,2.55,4.48,Operations; Data Science; Product; Sales,On-the-Job,9,No,None,Healthcare Analytics; Spark; Supply Chain,v2.4,2026-03-21,HRBP,Yes
SKL-1072,Digital Transformation,Domain,Specialized,Developing,Foundational,Increasing,5.78,-3.06,Operations; People & HR; Finance,On-the-Job,6,No,PHR,dbt; GCP; Power BI,v2.4,2026-02-15,Talent Management,No
SKL-1073,Regulatory Compliance,Domain,Foundational,Expert,Expert,Decreasing,8.78,1.27,Sales; Data Science,Mentoring,16,No,CPA,Cybersecurity; Talent Acquisition; Influence Without Authority,v2.4,2026-01-19,HRBP,No
SKL-1074,ESG Reporting,Domain,Foundational,Foundational,Foundational,Decreasing,8.49,-4.23,Legal & Compliance,Certification,18,No,Databricks Certified,Manufacturing Ops; API Development; Conflict Resolution,v2.4,2026-05-27,People Analytics,Yes
SKL-1071,SaaS GTM,Domain,Core,Proficient,Proficient,Emerging,2.93,1.12,Finance; Data Science; People & HR; Product,On-the-Job,16,Yes,Databricks Certified,Kubernetes; Decision Making; Talent Development,v2.4,2026-01-17,HRBP,Yes
SKL-1020,Databricks,Technical,Emerging,Proficient,Expert,Stable,2.09,-2.99,Finance; Sales,On-the-Job,13,No,Databricks Certified,Manufacturing Ops; R; Kubernetes,v2.4,2026-01-17,HRBP,No
SKL-1061,Presentation Skills,Interpersonal,Foundational,Advanced,Expert,Increasing,2.13,-1.83,Sales,Mentoring,23,No,PMP,Manufacturing Ops; Airflow; R,v2.4,2026-04-21,L&D,Yes
SKL-1066,Consumer Packaged Goods,Domain,Emerging,Proficient,Developing,Stable,3.9,2.09,Customer Experience; Marketing; Data Science,Self-Study,8,No,PMP,Organizational Design; FinTech; Kubernetes,v2.4,2026-05-09,People Analytics,Yes
SKL-1021,Snowflake,Technical,Specialized,Expert,Foundational,Increasing,1.73,4.49,Finance; Product; Engineering,Mentoring,22,No,CPA,Presentation Skills; Quantitative Research; Marketing Analytics,v2.4,2026-03-18,Talent Management,Yes
SKL-1007,Cybersecurity,Technical,Emerging,Advanced,Advanced,Emerging,5.18,-1.6,Operations; Legal & Compliance,Stretch Assignment,13,No,PMP,People Analytics; Retail Banking; SaaS GTM,v2.4,2026-01-28,HRBP,Yes
SKL-1059,Empathy,Interpersonal,Core,Proficient,Advanced,Stable,2.27,-4.49,Legal & Compliance; Product; Finance; Customer Experience,Formal Training,12,No,PHR,Databricks; Facilitation; Retail Banking,v2.4,2026-04-30,Talent Management,Yes
SKL-1063,Facilitation,Interpersonal,Core,Foundational,Advanced,Emerging,9.7,-2.85,Engineering; Legal & Compliance; Marketing,Mentoring,21,No,CPA,FinTech; SQL; React,v2.4,2026-04-21,People Analytics,Yes
SKL-1046,Compensation & Benefits,Functional,Foundational,Proficient,Foundational,Emerging,1.46,0.62,Customer Experience; Marketing; Data Science,Mentoring,18,No,Azure Data Engineer,Strategic Planning; Scala; R,v2.4,2026-01-25,Talent Management,Yes
SKL-1043,P&L Ownership,Leadership,Specialized,Developing,Developing,Emerging,5.5,-4.55,Operations; Sales,Certification,16,Yes,Azure Data Engineer,Azure; Coaching & Mentoring; Decision Making,v2.4,2026-02-11,Talent Management,Yes
SKL-1043,P&L Ownership,Leadership,Foundational,Expert,Proficient,Emerging,8.34,-1.32,Product,Certification,11,Yes,Databricks Certified,Experimentation Design; ESG Reporting; Regulatory Compliance,v2.4,2026-02-28,L&D,No
SKL-1021,Snowflake,Technical,Foundational,Developing,Developing,Increasing,6.15,2.01,Engineering; Sales,Self-Study,15,Yes,None,A/B Testing; Customer Success; Influence Without Authority,v2.4,2026-06-06,Talent Management,Yes
SKL-1017,Azure,Technical,Emerging,Expert,Proficient,Emerging,5.73,-1.86,Sales; Customer Experience,Self-Study,19,No,CPA,Presentation Skills; NLP; Quantitative Research,v2.4,2026-03-13,HRBP,Yes
SKL-1038,Organizational Design,Leadership,Specialized,Developing,Advanced,Decreasing,5.32,0.6,Marketing; Data Science; Product,Mentoring,13,Yes,CPA,API Development; Executive Presence; Spark,v2.4,2026-03-30,Talent Management,Yes
SKL-1061,Presentation Skills,Interpersonal,Emerging,Developing,Expert,Decreasing,9.4,1.96,Data Science; Finance,Formal Training,3,Yes,PHR,DevOps; TensorFlow; Customer Success,v2.4,2026-03-26,Talent Management,Yes
SKL-1017,Azure,Technical,Core,Expert,Developing,Emerging,6.88,3.81,Sales; Finance; Marketing; People & HR,Self-Study,22,Yes,Google Cloud Prof.,Regulatory Compliance; Business Intelligence; FinTech,v2.4,2026-01-10,People Analytics,No
SKL-1022,dbt,Technical,Core,Advanced,Advanced,Stable,9.43,4.62,Engineering; Legal & Compliance; Marketing,Certification,21,Yes,CFA,Executive Presence; Negotiation; E-Commerce,v2.4,2026-05-15,Talent Management,Yes
SKL-1064,Influence Without Authority,Interpersonal,Foundational,Proficient,Developing,Increasing,3.98,2.31,People & HR; Engineering; Operations,External Course,11,Yes,PMP,Marketing Analytics; Finance Business Partnering; Retail Banking,v2.4,2026-03-25,L&D,No
SKL-1012,TensorFlow,Technical,Emerging,Developing,Advanced,Decreasing,9.42,-4.93,Finance; Sales; Marketing; People & HR,Self-Study,20,Yes,CPA,Compensation & Benefits; Root Cause Analysis; Cybersecurity,v2.4,2026-06-20,L&D,No
SKL-1039,Stakeholder Management,Leadership,Emerging,Advanced,Expert,Decreasing,7.21,1.39,Operations; Finance; Customer Experience,Formal Training,17,Yes,Databricks Certified,People Analytics; Sales Operations; Manufacturing Ops,v2.4,2026-05-01,People Analytics,Yes
SKL-1010,Spark,Technical,Foundational,Expert,Proficient,Increasing,9.26,-3.88,Legal & Compliance; Customer Experience,Formal Training,7,No,Azure Data Engineer,Collaboration; Java; A/B Testing,v2.4,2026-05-30,Talent Management,Yes
SKL-1065,Retail Banking,Domain,Foundational,Foundational,Advanced,Stable,5.62,-0.43,Customer Experience,Mentoring,23,No,AWS Certified,Supply Chain; Predictive Analytics; Python,v2.4,2026-02-25,L&D,Yes
SKL-1054,Finance Business Partnering,Functional,Specialized,Foundational,Expert,Increasing,9.41,-4.31,Engineering; Marketing; Product; Data Science,External Course,6,No,CFA,Learning & Development; Conflict Resolution; Spark,v2.4,2026-06-24,People Analytics,Yes
SKL-1015,Scala,Technical,Emerging,Expert,Advanced,Stable,7.55,-2.77,Engineering,Self-Study,16,No,Azure Data Engineer,Learning & Development; Business Intelligence; Quantitative Research,v2.4,2026-04-28,HRBP,Yes
SKL-1035,Strategic Planning,Leadership,Emerging,Foundational,Foundational,Emerging,6.53,4.36,Finance,Formal Training,4,Yes,AWS Certified,Conflict Resolution; DevOps; Quantitative Research,v2.4,2026-01-12,Talent Management,No
SKL-1029,Business Intelligence,Analytical,Emerging,Foundational,Developing,Decreasing,3.11,4.16,Legal & Compliance; Operations; Finance,Self-Study,6,Yes,None,Organizational Design; Strategic Planning; Cybersecurity,v2.4,2026-05-23,People Analytics,No
SKL-1071,SaaS GTM,Domain,Foundational,Foundational,Proficient,Emerging,8.07,-1.81,Product; People & HR; Marketing; Finance,Formal Training,19,No,PHR,Data Visualization; Organizational Design; AWS,v2.4,2026-04-29,L&D,No
SKL-1053,Sales Operations,Functional,Emerging,Advanced,Developing,Decreasing,2.83,1.47,Operations; Data Science; Finance; Engineering,Self-Study,14,Yes,Google Cloud Prof.,NLP; SaaS GTM; Forecasting,v2.4,2026-05-03,People Analytics,Yes
SKL-1038,Organizational Design,Leadership,Core,Developing,Developing,Increasing,7.72,2.54,Legal & Compliance; Finance,Mentoring,9,No,CPA,Learning & Development; Empathy; FinTech,v2.4,2026-06-16,HRBP,Yes
SKL-1033,Experimentation Design,Analytical,Specialized,Expert,Advanced,Emerging,1.89,4.81,Operations; Finance; Legal & Compliance; People & HR,Mentoring,3,Yes,PMP,Machine Learning; Experimentation Design; Manufacturing Ops,v2.4,2026-05-30,Talent Management,Yes
SKL-1019,GCP,Technical,Emerging,Proficient,Developing,Emerging,6.13,-2.54,Marketing; Sales; Customer Experience,Mentoring,7,No,PMP,Azure; E-Commerce; Written Communication,v2.4,2026-02-17,L&D,Yes
SKL-1009,Power BI,Technical,Core,Foundational,Advanced,Stable,8.58,-2.69,Engineering; Finance,Certification,16,No,AWS Certified,Presentation Skills; Written Communication; Machine Learning,v2.4,2026-01-02,Talent Management,Yes
SKL-1002,Machine Learning,Technical,Specialized,Expert,Proficient,Increasing,5.52,1.98,People & HR; Data Science; Customer Experience; Marketing,Formal Training,9,Yes,Azure Data Engineer,Predictive Analytics; Talent Acquisition; Financial Modeling,v2.4,2026-04-12,L&D,Yes
SKL-1051,Marketing Analytics,Functional,Foundational,Expert,Developing,Stable,3.7,3.28,Engineering,On-the-Job,14,No,None,Manufacturing Ops; Active Listening; Cybersecurity,v2.4,2026-06-13,L&D,Yes
SKL-1010,Spark,Technical,Foundational,Advanced,Proficient,Increasing,9.05,4.19,Finance; Sales,Self-Study,3,Yes,CPA,E-Commerce; Digital Transformation; Cloud Architecture,v2.4,2026-02-15,HRBP,Yes
SKL-1026,A/B Testing,Analytical,Emerging,Advanced,Foundational,Decreasing,2.46,-2.6,Customer Experience; Operations; Product; Sales,Stretch Assignment,6,Yes,Azure Data Engineer,Talent Development; DevOps; TensorFlow,v2.4,2026-04-22,People Analytics,Yes
SKL-1043,P&L Ownership,Leadership,Foundational,Proficient,Foundational,Decreasing,8.05,-0.49,Operations; Customer Experience,Mentoring,15,Yes,None,Spark; Change Management; Quantitative Research,v2.4,2026-01-19,L&D,Yes
SKL-1019,GCP,Technical,Foundational,Developing,Advanced,Decreasing,4.25,-4.08,Sales; Operations; Marketing,On-the-Job,6,Yes,PMP,Communication; Conflict Resolution; SaaS GTM,v2.4,2026-05-23,Talent Management,Yes
SKL-1003,Data Engineering,Technical,Core,Proficient,Expert,Increasing,6.37,2.84,Engineering; Marketing; Product; Finance,External Course,4,Yes,Azure Data Engineer,Snowflake; Learning & Development; Azure,v2.4,2026-03-10,HRBP,Yes
SKL-1063,Facilitation,Interpersonal,Emerging,Foundational,Developing,Emerging,3.48,-2.0,Operations,Self-Study,9,No,PHR,Negotiation; React; Azure,v2.4,2026-03-19,L&D,No
SKL-1042,Board Communication,Leadership,Foundational,Proficient,Advanced,Decreasing,4.88,3.24,Marketing; Operations,Certification,24,Yes,Databricks Certified,Decision Making; dbt; Supply Chain,v2.4,2026-03-23,HRBP,No
SKL-1073,Regulatory Compliance,Domain,Emerging,Proficient,Advanced,Decreasing,8.35,-1.07,Legal & Compliance,Formal Training,20,Yes,Azure Data Engineer,Data Engineering; Empathy; A/B Testing,v2.4,2026-04-23,HRBP,Yes
SKL-1052,Customer Success,Functional,Foundational,Developing,Proficient,Stable,3.27,-3.46,Product; Data Science; Sales; Marketing,Mentoring,20,No,Azure Data Engineer,Influence Without Authority; Sales Operations; E-Commerce,v2.4,2026-01-10,HRBP,Yes
